"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.079327","1","97.000000","1","0.989691"
"markshare2","hard","Feasible","9.841994","1","25.000000","1","0.960000"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.383394","10"," / ","37"," / "
"pk1","easy","Feasible","0.132444","1","38.000000","11","0.710526"
"neos5","easy","Feasible","0.072298","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.007885","1","4115808817.239169","6840.96564179","0.999998"
"neos859080","easy","Solution not found (iteration limit exceded)","1.186911","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","6.621475","5","1112661.994249","764771.99999978","0.312665"
"neos-3046615-murg","easy","Feasible","0.637314","10","77476335.000000","1600","0.999979"
"sp150x300d","easy","Feasible","0.968697","9","126.000000","69","0.452381"
"mas76","easy","Feasible","30.352159","2","41593.568226","40005.05398999999","0.038191"
"mas74","easy","Feasible","35.235598","2","14482.311031","11801.18572","0.185131"
"gen-ip002","easy","Feasible","1.858053","3","-4738.656041","-4783.733392","0.009423"
"glass4","easy","Feasible","0.240808","4","2550025350.000000","1200012599.972384","0.529412"
"neos-3754480-nidda","easy","Feasible","0.963252","2","14391.163415","12941.73838561778","0.100716"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","1.205905","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.189232","3","237.000000","211.999999999998","0.105485"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","2.358723","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","1.222567","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.313965","3","103.750000","54.76","0.472193"
"mad","easy","Feasible","1.054044","2","0.176000","0.0268","0.847727"
"graphdraw-domain","easy","Feasible","0.664780","6","28644.000000","19685.99997550038","0.312736"
"tr12-30","easy","Feasible","1.850789","2","139086.000000","130595.9999999999","0.061041"
"exp-1-500-5-5","easy","Feasible","1.096488","2","83821.000000","65887","0.213956"
"neos-3381206-awhea","easy","Feasible","18.843258","7","460.000000","453","0.015217"
"ic97_potential","easy","Solution not found (iteration limit exceded)","81.877494","10"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","60.484881","3","1031767.380000","988585.6199999998","0.041852"
"binkar10_1","easy","Feasible","0.230844","2","7410.190022","6742.1998835","0.090145"
"csched008","easy","Feasible","5.461383","8","185.000000","173","0.064865"
"csched007","easy","Solution not found (iteration limit exceded)","115.644290","10"," / ","350.9999999999955"," / "
"beasleyC3","easy","Feasible","84.115321","6","2496.000000","753.9999999999128","0.697917"
"p200x1188c","easy","Feasible","0.060945","1","1180411.000000","15078","0.987226"
"neos-4338804-snowy","hard","Feasible","1.906814","8","2649.000000","1471","0.444696"
"50v-10","easy","Feasible","0.035223","1","4161844.299071","3311.1799841","0.999204"
"pg","easy","Feasible","0.767328","1","-7577.149077","-8674.34260712","0.126487"
"mc11","easy","Feasible","12.361926","2","42354.000000","11688.99999999966","0.724017"
"gmu-35-40","easy","Feasible","168.783343","8","-2249484.297100","-2406733.3688","0.065337"
"neos-4954672-berkel","easy","Feasible","0.318480","1","4784728.000000","2612710","0.453948"
"mik-250-20-75-4","easy","Feasible","0.162810","4","152768.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","2.655670","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.502907","1","-13253.021729","-14339.35345","0.075759"
"n5-3","easy","Feasible","0.076260","1","9635510.000000","8104.999999993999","0.999159"
"lotsize","easy","Feasible","64.728128","4","2030953.000000","1480195","0.271182"
"ran14x18-disj-8","easy","Feasible","0.046417","1","14154.000000","3712","0.737742"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","6.352729","10"," / ","11460"," / "
"gmu-35-50","easy","Feasible","136.861656","7","-2550611.450100","-2607958.33","0.021989"
"b1c1s1","easy","Feasible","51.456045","4","31297.810000","24544.25","0.215784"
"uct-subprob","easy","Feasible","6.680933","5","371.000000","314","0.153639"
"neos17","easy","Feasible","0.634364","2","0.388093","0.1500025774","0.613488"
"bppc4-08","easy","Feasible","1.199460","4","57.000000","53","0.070175"
"qap10","easy","Solution not found (iteration limit exceded)","65.544771","10"," / ","339.9999999983871"," / "
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","5.532965","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","428.404696","10"," / ","326481.14282799"," / "
"reblock115","easy","Solution not found (iteration limit exceded)","244.280828","10"," / ","-36800603.2332"," / "
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","144.319110","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","13.304712","10"," / ","19449"," / "
"roll3000","easy","Solution not found (iteration limit exceded)","19.490575","10"," / ","12889.999992"," / "
"cost266-UUE","easy","Feasible","76.985832","4","30788869.600000","25148940.55999998","0.183181"
"icir97_tension","easy","Feasible","36.921016","8","6626.999962","6375","0.038026"
"neos-3024952-loue","easy","Solution not found (iteration limit exceded)","425.251674","10"," / ","26756"," / "
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","26.694513","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","1.681720","1","530.000000","230","0.566038"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","11.293415","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Solution not found (iteration limit exceded)","185.225789","10"," / ","3644.99999999952"," / "
"neos-4387871-tavua","hard","Feasible","9.095834","4","68.941040","33.384729927","0.515750"
"sct2","easy","Feasible","16.026648","4","-215.069722","-230.9891623","0.068919"
"bnatt400","easy","Solution not found (iteration limit exceded)","13.627189","10"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","31.840661","10"," / ","-3"," / "
"supportcase18","easy","Feasible","1.755636","6","59.000000","48","0.186441"
"seymour","easy","Feasible","1.214882","4","476.000000","423","0.111345"
"seymour1","easy","Feasible","17.235044","4","426.815132","410.76370139","0.037607"
"eil33-2","easy","Feasible","0.599414","6","1852.910803","934.007915999999","0.495924"
"rmatr100-p10","easy","Feasible","0.859342","2","521.000000","423","0.188100"
"bnatt500","easy","Solution not found (iteration limit exceded)","15.448922","10"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Solution not found (iteration limit exceded)","11.451520","10"," / ","6307996"," / "
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","10.981724","10"," / ","-9"," / "
"neos-1582420","easy","Solution not found (iteration limit exceded)","4.365907","10"," / ","90.99999999999996"," / "
"swath1","easy","Feasible","2.898986","4","385.129205","379.07129575","0.015730"
"swath3","easy","Feasible","4.892067","5","422.669292","397.76134365","0.058930"
"peg-solitaire-a3","easy","Solution not found (iteration limit exceded)","33.254835","10"," / ","1"," / "
"neos-1456979","easy","Solution not found (iteration limit exceded)","38.334672","10"," / ","176"," / "
"cod105","easy","Feasible","36.707817","5","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","63.935332","4","12018.275799","6382.099048245999","0.468967"
"air05","easy","Feasible","3.741095","6","38099.000000","26374","0.307751"
"rocI-4-11","easy","Bug OMIP","63.677691","6"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","168.834377","3"," / ","-17783"," / "
"neos-1171737","easy","Feasible","63.588922","3","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.215881","1","66.000000","23","0.651515"
"drayage-100-23","easy","Feasible","5.014590","5","245506.609154","103333.87407","0.579099"
"drayage-25-23","easy","Feasible","6.735965","6","167951.753597","101282.647018","0.396954"
"nexp-150-20-8-5","easy","Feasible","63.044383","4","695.000000","231","0.667626"
"ns1208400","easy","Solution not found (iteration limit exceded)","260.175385","10"," / ","2"," / "
"traininstance6","easy","Solution not found (iteration limit exceded)","45.145112","10"," / ","28290"," / "
"dano3_3","easy","Feasible","12.548983","2","577.676337","576.34463303","0.002305"
"dano3_5","easy","Feasible","63.851055","2","580.398503","576.9249159565619","0.005985"
"neos-2978193-inde","easy","Feasible","0.284750","1","-0.473194","-2.38806169","0.801850"
"neos-3004026-krka","easy","Solution not found (iteration limit exceded)","318.494634","10"," / ","0"," / "
"traininstance2","easy","Solution not found (iteration limit exceded)","155.417898","10"," / ","71820"," / "
"wachplan","easy","Solution not found (iteration limit exceded)","4.715854","10"," / ","-8"," / "
"CMS750_4","easy","Feasible","74.000033","4","578.000000","252","0.564014"
"piperout-08","easy","Solution not found (iteration limit exceded)","52.886051","10"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (iteration limit exceded)","124.529095","10"," / ","20622"," / "
"decomp2","easy","Solution not found (iteration limit exceded)","26.663587","10"," / ","-160"," / "
"comp21-2idx","easy","Solution not found (iteration limit exceded)","45.495074","10"," / ","74"," / "
"neos-3216931-puriri","easy","Solution not found (iteration limit exceded)","212.208091","10"," / ","71320"," / "
"dws008-01","easy","Feasible","220.966242","8","70544.108204","37412.60458794508","0.469657"
"neos-3656078-kumeu","hard","Solution not found (iteration limit exceded)","540.664216","10"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (iteration limit exceded)","84.781667","10"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","7.368784","1","245.729766","204.08170701","0.169487"
"trento1","easy","Feasible","1.478451","2","509756372.000600","5189487","0.989820"
"cbs-cta","easy","Feasible","12.083322","4","0.000000","0","0.000000"
"net12","easy","Solution not found (iteration limit exceded)","27.495265","10"," / ","214"," / "
"fiball","easy","Solution not found (iteration limit exceded)","121.842771","10"," / ","138"," / "
"mzzv11","easy","Solution not found (iteration limit exceded)","146.476449","10"," / ","-21718"," / "
"leo1","easy","Feasible","0.539446","3","980451287.040000","404227536.16","0.587713"
"irp","easy","Feasible","1.803823","6","13002.615113","12159.49283539698","0.064843"
"mzzv42z","easy","Solution not found (iteration limit exceded)","130.891922","10"," / ","-20540"," / "
"neos-950242","easy","Solution not found (iteration limit exceded)","24.610554","10"," / ","4"," / "
"neos-1354092","easy","Solution not found (time limit exceded)","238.032394","5"," / ","46"," / "
"30n20b8","easy","Solution not found (iteration limit exceded)","44.922908","10"," / ","302"," / "
"comp07-2idx","easy","Feasible","39.347172","10","4670.000000","6","0.998715"
"neos-1171448","easy","Feasible","35.498550","3","-309.000000","-309","0.000000"
"neos-827175","easy","Feasible","84.419554","7","113.002100","112.00152","0.008855"
"neos-5188808-nattai","easy","Feasible","77.776524","4","1.365802","0.110283622999984","0.919254"
"satellites2-60-fs","easy","Solution not found (iteration limit exceded)","446.543687","10"," / ","-19.0000000001"," / "
"brazil3","easy","Solution not found (time limit exceded)","176.905925","9"," / ","24"," / "
"neos-662469","easy","Solution not found (iteration limit exceded)","81.680889","10"," / ","184379.9999999999"," / "
"momentum1","easy","Solution not found (iteration limit exceded)","144.863063","10"," / ","109143.4935"," / "
"mushroom-best","easy","Feasible","13.592040","2","3884.743097","0.0553337612","0.999986"
"germanrr","easy","Solution not found (time limit exceded)","306.517504","7"," / ","47095869.649"," / "
"rmatr200-p5","easy","Feasible","42.492487","4","4919.000000","4521","0.080911"
"unitcal_7","easy","Solution not found (time limit exceded)","286.059553","5"," / ","19635558.244"," / "
"radiationm18-12-05","easy","Solution not found (time limit exceded)","179.632403","5"," / ","17566"," / "
"supportcase40","easy","Feasible","70.807623","5","25883.704353","24256.3122898","0.062873"
"n2seq36q","easy","Feasible","6.978343","6","198800.000000","52200","0.737425"
"leo2","easy","Feasible","1.429979","5","3110704672.900000","404077441.12","0.870101"
"neos-960392","easy","Solution not found (iteration limit exceded)","67.522207","10"," / ","-238"," / "
"cmflsp50-24-8-8","easy","Solution not found (time limit exceded)","301.380113","4"," / ","55789389.886"," / "
"neos-5195221-niemur","easy","Solution not found (iteration limit exceded)","83.974442","10"," / ","0.0038354326"," / "
"nursesched-sprint02","easy","Solution not found (iteration limit exceded)","14.215749","10"," / ","57.99999999999999"," / "
"tbfp-network","easy","Solution not found (iteration limit exceded)","112.903999","10"," / ","24.16319444"," / "
"blp-ic98","easy","Feasible","4.374983","5","6489.352786","4491.44758395","0.307874"
"neos-860300","easy","Feasible","2.638595","5","5636.000000","3200.999999999998","0.432044"
"blp-ar98","easy","Feasible","30.039043","5","7348.356853","6205.2147104","0.155564"
"neos-933966","easy","Feasible","100.857701","7","380.000000","318","0.163158"
"lectsched-5-obj","easy","Solution not found (time limit exceded)","97.319219","1"," / ","24"," / "
"chromaticindex512-7","easy","Feasible","86.335091","8","4.000000","4","0.000000"
"ns1952667","easy","Solution not found (time limit exceded)","62.549496","5"," / ","0"," / "
"neos-4300652-rahue","easy","Solution not found (time limit exceded)","82.551390","2"," / ","2.1416"," / "
"neos-1122047","easy","Feasible","66.434062","4","161.000000","161","0.000000"
"satellites2-40","easy","Solution not found (time limit exceded)","399.023264","8"," / ","-19"," / "
"supportcase33","easy","Solution not found (iteration limit exceded)","98.288393","10"," / ","-345"," / "
"academictimetablesmall","easy","Solution not found (time limit exceded)","120.011185","4"," / ","0"," / "
"sp97ar","easy","Feasible","1.581000","4","4642876351.039999","660705645.759","0.857695"
"hypothyroid-k1","easy","Feasible","50.590491","7","-102.000000","-2851","0.964223"
"fast0507","easy","Feasible","1.314501","2","1578.000000","174","0.889734"
"neos8","easy","Solution not found (iteration limit exceded)","86.134367","10"," / ","-3719"," / "
"neos-3988577-wolgan","easy","Solution not found (time limit exceded)","93.021469","1"," / ","Infeasible"," / "
"rocII-5-11","easy","Solution not found (time limit exceded)","317.603222","7"," / ","-6.675504731538"," / "
"app1-2","easy","Solution not found (iteration limit exceded)","79.713977","10"," / ","-41"," / "
"atlanta-ip","easy","Solution not found (iteration limit exceded)","221.992021","10"," / ","90.009878614"," / "
"neos-2746589-doon","easy","Solution not found (time limit exceded)","150.653628","4"," / ","2008.199999999999"," / "
"neos-787933","easy","Feasible","12.551869","6","1522.000000","30","0.980289"
"sing326","easy","Solution not found (iteration limit exceded)","406.517829","10"," / ","7753674.85376"," / "
"n3div36","easy","Feasible","2.909084","3","4801200.000000","130800","0.972757"
"sing44","easy","Solution not found (time limit exceded)","181.953806","3"," / ","8128831.1772"," / "
"sp98ar","easy","Feasible","1.918443","4","3144671806.880000","529740623.2","0.831543"
