"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.092303","1","49.000000","1","0.979592"
"markshare2","hard","Feasible","1.057534","1","71.000000","1","0.985915"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.485048","10"," / ","37"," / "
"pk1","easy","Feasible","0.068081","1","67.000000","11","0.835821"
"neos5","easy","Feasible","0.030224","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","0.007938","1","11444616960.412924","6840.96564179","0.999999"
"neos859080","easy","Solution not found (iteration limit exceded)","1.652401","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","6.573877","8","1143612.000000","764771.99999978","0.331266"
"neos-3046615-murg","easy","Feasible","0.553800","7","117161889.000000","1600","0.999986"
"sp150x300d","easy","Feasible","0.835056","8","121.000000","69","0.429752"
"mas76","easy","Feasible","30.351473","2","47706.568227","40005.05398999999","0.161435"
"mas74","easy","Feasible","4.289626","2","14666.423801","11801.18572","0.195360"
"gen-ip002","easy","Feasible","2.444646","6","-4455.679287","-4783.733392","0.068577"
"glass4","easy","Feasible","0.382554","3","2175017000.000000","1200012599.972384","0.448274"
"neos-3754480-nidda","easy","Feasible","3.094142","2","13876.179311","12941.73838561778","0.067341"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","1.243176","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.447893","2","223.000000","211.999999999998","0.049327"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","1.055241","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","1.407935","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.993676","3","81.020000","54.76","0.324118"
"mad","easy","Feasible","0.053280","2","2.424800","0.0268","0.988948"
"graphdraw-domain","easy","Feasible","0.621000","7","34833.000000","19685.99997550038","0.434846"
"tr12-30","easy","Feasible","5.542194","4","138425.000000","130595.9999999999","0.056558"
"exp-1-500-5-5","easy","Feasible","1.065156","2","85434.000000","65887","0.228796"
"neos-3381206-awhea","easy","Feasible","3.883074","7","457.000000","453","0.008753"
"ic97_potential","easy","Solution not found (iteration limit exceded)","26.320211","10"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","30.460891","2","1035698.830000","988585.6199999998","0.045489"
"binkar10_1","easy","Feasible","0.196372","2","1007783.830025","6742.1998835","0.993310"
"csched008","easy","Feasible","26.729643","5","185.000000","173","0.064865"
"csched007","easy","Feasible","30.542575","7","494.000000","350.9999999999955","0.289474"
"beasleyC3","easy","Feasible","49.068023","7","2348.000000","753.9999999999128","0.678876"
"p200x1188c","easy","Feasible","0.061062","1","1125855.000000","15078","0.986608"
"neos-4338804-snowy","hard","Feasible","1.266211","7","3178.000000","1471","0.537130"
"50v-10","easy","Feasible","0.034731","1","4481541.058173","3311.1799841","0.999261"
"pg","easy","Feasible","0.381756","1","-7407.903143","-8674.34260712","0.145998"
"mc11","easy","Feasible","10.394195","2","42108.000000","11688.99999999966","0.722404"
"gmu-35-40","easy","Feasible","101.985028","6","-2357418.231600","-2406733.3688","0.020490"
"neos-4954672-berkel","easy","Feasible","0.431825","2","2950012.000000","2612710","0.114339"
"mik-250-20-75-4","easy","Feasible","0.252551","5","182566.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","2.452570","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.706033","1","-13337.836892","-14339.35345","0.069844"
"n5-3","easy","Feasible","0.101608","1","9695485.000000","8104.999999993999","0.999164"
"lotsize","easy","Feasible","136.092102","7","2451224.000000","1480195","0.396140"
"ran14x18-disj-8","easy","Feasible","0.045931","1","15259.000000","3712","0.756734"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","6.154266","10"," / ","11460"," / "
"gmu-35-50","easy","Feasible","135.798807","7","-2602114.315700","-2607958.33","0.002241"
"b1c1s1","easy","Feasible","36.583133","3","31019.340000","24544.25","0.208744"
"uct-subprob","easy","Feasible","4.405816","3","395.000000","314","0.205063"
"neos17","easy","Feasible","1.286492","3","0.719460","0.1500025774","0.791507"
"bppc4-08","easy","Feasible","0.210793","3","107.000000","53","0.504673"
"qap10","easy","Feasible","63.449611","10","594.000000","339.9999999983871","0.427609"
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","5.378879","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","444.289341","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","140.939010","7","-34797775.197655","-36800603.2332","0.054424"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","79.954908","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","10.104524","10"," / ","19449"," / "
"roll3000","easy","Solution not found (iteration limit exceded)","15.999763","10"," / ","12889.999992"," / "
"cost266-UUE","easy","Feasible","38.236534","4","30595696.060000","25148940.55999998","0.178024"
