"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","1.375631","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","30.047881","1","23.000000","1","0.956522"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.066911","10"," / ","37"," / "
"pk1","easy","Feasible","0.928723","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.036833","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.004096","1","37379342.475494","6840.96564179","0.999817"
"neos859080","easy","Solution not found (iteration limit exceded)","0.408455","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","7.966274","3","932292.000000","764771.99999978","0.179686"
"neos-3046615-murg","easy","Feasible","42.572786","6","1993.000000","1600","0.197190"
"sp150x300d","easy","Feasible","0.251090","3","97.000000","69","0.288660"
"mas76","easy","Feasible","2.986161","2","40748.387768","40005.05398999999","0.018242"
"mas74","easy","Feasible","9.503387","1","14573.955651","11801.18572","0.190255"
"gen-ip002","easy","Feasible","30.029314","2","-4632.722284","-4783.733392","0.031568"
"glass4","easy","Feasible","4.785116","3","1800017375.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","7.929617","1","14279.896974","12941.73838561778","0.093709"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","11.400419","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","16.505750","3","217.000000","211.999999999998","0.023041"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","31.450752","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","4.942997","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","27.099567","2","63.980000","54.76","0.144108"
"mad","easy","Feasible","13.698493","2","0.078400","0.0268","0.658163"
"graphdraw-domain","easy","Feasible","3.537868","2","25258.000000","19685.99997550038","0.220603"
"tr12-30","easy","Feasible","29.519783","1","134482.000000","130595.9999999999","0.028896"
