"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.941450","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","15.019629","1","23.000000","1","0.956522"
"enlight_hard","easy","Solution not found (iteration limit exceded)","24.649643","10"," / ","37"," / "
"pk1","easy","Feasible","0.792191","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.024388","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.003570","1","37379342.475494","6840.96564179","0.999817"
"neos859080","easy","Solution not found (iteration limit exceded)","0.405074","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","6.231051","3","955728.000000","764771.99999978","0.199802"
"neos-3046615-murg","easy","Feasible","29.348865","6","1763.000000","1600","0.092456"
"sp150x300d","easy","Feasible","0.231078","3","97.000000","69","0.288660"
"mas76","easy","Feasible","2.771995","2","40748.387768","40005.05398999999","0.018242"
"mas74","easy","Feasible","8.421876","1","14573.955651","11801.18572","0.190255"
"gen-ip002","easy","Feasible","15.049144","2","-4632.722284","-4783.733392","0.031568"
"glass4","easy","Feasible","6.632956","3","1800017375.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","5.177191","1","14279.896974","12941.73838561778","0.093709"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","40.726752","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","23.165670","3","214.000000","211.999999999998","0.009346"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","16.100120","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","4.729888","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","5.750608","2","63.980000","54.76","0.144108"
"mad","easy","Feasible","15.024149","2","0.168600","0.0268","0.841044"
"graphdraw-domain","easy","Feasible","3.463041","2","25440.000000","19685.99997550038","0.226179"
"tr12-30","easy","Feasible","15.190883","1","134484.000000","130595.9999999999","0.028911"
"exp-1-500-5-5","easy","Feasible","4.210561","2","77420.000000","65887","0.148967"
"neos-3381206-awhea","easy","Feasible","3.032263","3","453.000000","453","0.000000"
"ic97_potential","easy","Feasible","48.036861","3","4089.000000","3941.99993090225","0.035950"
"neos-3627168-kasai","easy","Feasible","15.055664","1","1029414.330000","988585.6199999998","0.039662"
"binkar10_1","easy","Feasible","0.633953","2","6954.650035","6742.1998835","0.030548"
"csched008","easy","Feasible","9.939717","4","187.000000","173","0.074866"
"csched007","easy","Feasible","32.551602","3","483.000000","350.9999999999955","0.273292"
"beasleyC3","easy","Feasible","18.119467","2","1654.000000","753.9999999999128","0.544135"
"p200x1188c","easy","Feasible","0.110837","1","632163.000000","15078","0.976149"
"neos-4338804-snowy","hard","Feasible","0.683952","3","2883.000000","1471","0.489768"
"50v-10","easy","Feasible","0.025864","1","2518124.503338","3311.1799841","0.998685"
"pg","easy","Feasible","3.651242","1","-8094.989754","-8674.34260712","0.066789"
"mc11","easy","Feasible","9.630743","1","29313.000000","11688.99999999966","0.601235"
"gmu-35-40","easy","Feasible","27.007032","3","-2297333.521800","-2406733.3688","0.045456"
"neos-4954672-berkel","easy","Feasible","4.878281","1","3199095.000000","2612710","0.183297"
"mik-250-20-75-4","easy","Feasible","0.217951","4","73711.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.363967","10"," / ","211913"," / "
"pg5_34","easy","Feasible","1.439479","1","-13856.148460","-14339.35345","0.033698"
"n5-3","easy","Feasible","0.149763","1","4931860.000000","8104.999999993999","0.998357"
"lotsize","easy","Feasible","45.390953","3","1715884.000000","1480195","0.137357"
"ran14x18-disj-8","easy","Feasible","0.090735","1","8107.000000","3712","0.542124"
"rococoC10-001000","easy","Feasible","14.119818","9","26027.000000","11460","0.559688"
"gmu-35-50","easy","Feasible","53.089670","4","-2592437.678700","-2607958.33","0.005951"
"b1c1s1","easy","Feasible","21.104480","2","29095.710000","24544.25","0.156431"
"uct-subprob","easy","Feasible","26.378251","2","323.000000","314","0.027864"
"neos17","easy","Feasible","0.340523","1","0.381567","0.1500025774","0.606877"
"bppc4-08","easy","Feasible","13.038435","3","62.000000","53","0.145161"
"qap10","easy","Feasible","6.516851","7","460.000000","339.9999999983871","0.260870"
"cvs16r128-89","easy","Feasible","11.962098","9","-84.000000","-97","0.134021"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","276.678989","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","58.100552","6","-34058973.236893","-36800603.2332","0.074500"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","98.120220","4"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","85.720969","10"," / ","19449"," / "
"roll3000","easy","Feasible","13.689508","4","14654.000000","12889.999992","0.120377"
"cost266-UUE","easy","Feasible","45.371381","3","27769511.400000","25148940.55999998","0.094369"
"icir97_tension","easy","Feasible","63.146078","5","6626.000000","6375","0.037881"
"neos-3024952-loue","easy","Solution not found (time limit exceded)","60.082487","1"," / ","26756"," / "
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","55.872080","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","9.588512","1","230.000000","230","0.000000"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","88.355204","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","51.711643","7","19413.000000","3644.99999999952","0.812239"
"neos-4387871-tavua","hard","Feasible","17.269895","2","58.526830","33.384729927","0.429582"
"sct2","easy","Feasible","19.594962","3","-230.853293","-230.9891623","0.000588"
"bnatt400","easy","Solution not found (time limit exceded)","47.403693","2"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","15.945819","10"," / ","-3"," / "
"supportcase18","easy","Feasible","8.130123","4","48.000000","48","0.000000"
"seymour","easy","Feasible","5.343504","3","455.000000","423","0.070330"
"seymour1","easy","Feasible","22.653065","2","419.630893","410.76370139","0.021131"
