"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","1.366540","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","35.052727","1","23.000000","1","0.956522"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.235984","10"," / ","37"," / "
"pk1","easy","Feasible","0.930420","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.036898","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.004247","1","37379342.475494","6840.96564179","0.999817"
"neos859080","easy","Solution not found (iteration limit exceded)","0.409776","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","7.939692","3","932292.000000","764771.99999978","0.179686"
"neos-3046615-murg","easy","Feasible","47.634933","6","1993.000000","1600","0.197190"
"sp150x300d","easy","Feasible","0.252773","3","97.000000","69","0.288660"
"mas76","easy","Feasible","2.997540","2","40748.387768","40005.05398999999","0.018242"
"mas74","easy","Feasible","9.518618","1","14573.955651","11801.18572","0.190255"
"gen-ip002","easy","Feasible","31.319235","2","-4632.722284","-4783.733392","0.031568"
"glass4","easy","Feasible","4.802381","3","1800017375.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","7.938830","1","14279.896974","12941.73838561778","0.093709"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","11.435397","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","16.522162","3","217.000000","211.999999999998","0.023041"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","36.506724","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","4.950583","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","27.094687","2","63.980000","54.76","0.144108"
"mad","easy","Feasible","13.699781","2","0.078400","0.0268","0.658163"
"graphdraw-domain","easy","Feasible","3.539827","2","25258.000000","19685.99997550038","0.220603"
"tr12-30","easy","Feasible","29.610320","1","134482.000000","130595.9999999999","0.028896"
"exp-1-500-5-5","easy","Feasible","4.491442","2","77420.000000","65887","0.148967"
"neos-3381206-awhea","easy","Feasible","9.275883","4","457.000000","453","0.008753"
"ic97_potential","easy","Feasible","129.209359","5","4074.000000","3941.99993090225","0.032401"
"neos-3627168-kasai","easy","Feasible","38.080824","2","1002881.960000","988585.6199999998","0.014255"
"binkar10_1","easy","Feasible","0.420055","2","6936.000013","6742.1998835","0.027941"
"csched008","easy","Feasible","1.727744","2","180.000000","173","0.038889"
"csched007","easy","Feasible","46.004678","3","464.000000","350.9999999999955","0.243534"
"beasleyC3","easy","Feasible","16.870385","2","1676.000000","753.9999999999128","0.550119"
"p200x1188c","easy","Feasible","0.099278","1","658196.000000","15078","0.977092"
"neos-4338804-snowy","hard","Feasible","1.806541","4","3137.000000","1471","0.531081"
"50v-10","easy","Feasible","0.025948","1","2733956.792799","3311.1799841","0.998789"
"pg","easy","Feasible","3.179939","1","-7981.569781","-8674.34260712","0.079865"
"mc11","easy","Feasible","33.780434","1","30152.000000","11688.99999999966","0.612331"
"gmu-35-40","easy","Feasible","105.234712","3","-2405099.877400","-2406733.3688","0.000679"
"neos-4954672-berkel","easy","Feasible","0.949978","1","3382267.333333","2612710","0.227527"
"mik-250-20-75-4","easy","Feasible","0.299170","4","89543.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.273149","10"," / ","211913"," / "
"pg5_34","easy","Feasible","1.528490","1","-13672.639108","-14339.35345","0.046495"
"n5-3","easy","Feasible","0.158192","1","5253855.000000","8104.999999993999","0.998457"
"lotsize","easy","Feasible","47.330819","2","1715306.000000","1480195","0.137067"
"ran14x18-disj-8","easy","Feasible","0.095650","1","8937.000000","3712","0.584648"
"rococoC10-001000","easy","Feasible","6.404331","10","43738.000000","11460","0.737985"
"gmu-35-50","easy","Feasible","162.576315","4","-2603868.205600","-2607958.33","0.001568"
"b1c1s1","easy","Feasible","42.017065","2","29116.060000","24544.25","0.157020"
"uct-subprob","easy","Feasible","36.794177","2","328.000000","314","0.042683"
"neos17","easy","Feasible","0.445655","1","0.407871","0.1500025774","0.632230"
"bppc4-08","easy","Feasible","10.925524","3","54.000000","53","0.018519"
"qap10","easy","Feasible","32.129709","4","576.000000","339.9999999983871","0.409722"
"cvs16r128-89","easy","Feasible","51.637905","10","-92.000000","-97","0.051546"
"milo-v12-6-r2-40-1","easy","Feasible","495.589941","8","376520.939316","326481.14282799","0.132900"
"reblock115","easy","Feasible","134.183789","5","-35596873.035699","-36800603.2332","0.032710"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","273.203903","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","78.049408","10"," / ","19449"," / "
"roll3000","easy","Feasible","57.806221","6","16390.000000","12889.999992","0.213545"
"cost266-UUE","easy","Feasible","70.478347","2","28747953.960000","25148940.55999998","0.125192"
"icir97_tension","easy","Feasible","123.609265","4","6493.000000","6375","0.018173"
"neos-3024952-loue","easy","Feasible","255.422998","5","70874.000000","26756","0.622485"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","153.636033","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","17.395797","1","236.000000","230","0.025424"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","172.266052","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","102.196639","9","20538.000000","3644.99999999952","0.822524"
"neos-4387871-tavua","hard","Feasible","37.152611","2","48.284200","33.384729927","0.308579"
"sct2","easy","Feasible","7.540386","3","-230.445684","-230.9891623","0.002353"
"bnatt400","easy","Solution not found (time limit exceded)","146.554479","3"," / ","1"," / "
"app1-1","easy","Feasible","44.151916","3","-3.000000","-3","0.000000"
"supportcase18","easy","Feasible","33.328094","3","48.000000","48","0.000000"
"seymour","easy","Feasible","14.116730","3","456.000000","423","0.072368"
"seymour1","easy","Feasible","41.147492","3","420.079278","410.76370139","0.022176"
"eil33-2","easy","Feasible","0.190318","3","1681.664131","934.007915999999","0.444593"
"rmatr100-p10","easy","Feasible","3.805816","2","470.000000","423","0.100000"
"bnatt500","easy","Solution not found (time limit exceded)","207.188170","4"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","4.635484","6","6759818.000000","6307996","0.066839"
"graph20-20-1rand","easy","Feasible","74.411033","5","-5.000000","-9","0.444444"
"neos-1582420","easy","Feasible","2.592936","3","137.000000","90.99999999999996","0.335766"
"swath1","easy","Feasible","0.944078","3","559.418307","379.07129575","0.322383"
"swath3","easy","Feasible","6.371630","3","486.779879","397.76134365","0.182872"
"peg-solitaire-a3","easy","Solution not found (iteration limit exceded)","369.275015","10"," / ","1"," / "
"neos-1456979","easy","Feasible","38.109226","4","276.000000","176","0.362319"
"cod105","easy","Feasible","70.646693","3","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","43.361581","3","7504.290359","6382.099048245999","0.149540"
"air05","easy","Feasible","14.171609","4","30750.000000","26374","0.142309"
"rocI-4-11","easy","Solution not found (time limit exceded)","387.295485","8"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","140.559139","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","49.844606","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","3.454788","1","40.000000","23","0.425000"
"drayage-100-23","easy","Feasible","4.868085","3","165604.925079","103333.87407","0.376022"
"drayage-25-23","easy","Feasible","5.355704","4","131020.530796","101282.647018","0.226971"
"nexp-150-20-8-5","easy","Feasible","36.075012","2","345.000000","231","0.330435"
"ns1208400","easy","Solution not found (time limit exceded)","175.155100","2"," / ","2"," / "
"traininstance6","easy","Solution not found (iteration limit exceded)","53.185319","10"," / ","28290"," / "
"dano3_3","easy","Feasible","23.998716","2","577.170684","576.34463303","0.001431"
"dano3_5","easy","Feasible","74.020909","2","577.026789","576.9249159565619","0.000177"
"neos-2978193-inde","easy","Feasible","0.478294","1","-1.617896","-2.38806169","0.322507"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","115.147028","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","146.877841","5"," / ","71820"," / "
"wachplan","easy","Feasible","6.332091","8","-8.000000","-8","0.000000"
"CMS750_4","easy","Feasible","18.062871","2","419.000000","252","0.398568"
"piperout-08","easy","Solution not found (time limit exceded)","43.438134","1"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (time limit exceded)","280.483114","4"," / ","20622"," / "
"decomp2","easy","Solution not found (iteration limit exceded)","51.059366","10"," / ","-160"," / "
"comp21-2idx","easy","Feasible","74.438334","4","3507.000000","74","0.978899"
"neos-3216931-puriri","easy","Solution not found (time limit exceded)","107.555682","2"," / ","71320"," / "
"dws008-01","easy","Solution not found (time limit exceded)","144.281692","2"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","191.632964","2"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (time limit exceded)","119.868536","4"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","15.890574","2","213.841278","204.08170701","0.045639"
"trento1","easy","Feasible","46.578115","2","87165777.013800","5189487","0.940464"
"cbs-cta","easy","Feasible","0.976273","1","0.000000","0","0.000000"
"net12","easy","Feasible","21.429992","5","337.000000","214","0.364985"
"fiball","easy","Feasible","139.868534","5","139.000000","138","0.007194"
"mzzv11","easy","Solution not found (time limit exceded)","112.765386","3"," / ","-21718"," / "
"leo1","easy","Feasible","0.162020","2","863661669.920000","404227536.16","0.531961"
"irp","easy","Feasible","0.873728","4","14301.113188","12159.49283539698","0.149752"
"mzzv42z","easy","Solution not found (time limit exceded)","45.058760","1"," / ","-20540"," / "
