"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","1.361648","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","45.063778","1","23.000000","1","0.956522"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.216737","10"," / ","37"," / "
"pk1","easy","Feasible","0.929273","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.036873","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.004149","1","37379342.475494","6840.96564179","0.999817"
"neos859080","easy","Solution not found (iteration limit exceded)","0.420546","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","7.951805","3","932292.000000","764771.99999978","0.179686"
"neos-3046615-murg","easy","Feasible","57.570765","6","1993.000000","1600","0.197190"
"sp150x300d","easy","Feasible","0.254230","3","97.000000","69","0.288660"
"mas76","easy","Feasible","2.995400","2","40748.387768","40005.05398999999","0.018242"
"mas74","easy","Feasible","9.490832","1","14573.955651","11801.18572","0.190255"
"gen-ip002","easy","Feasible","31.313833","2","-4632.722284","-4783.733392","0.031568"
"glass4","easy","Feasible","4.791077","3","1800017375.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","7.945316","1","14279.896974","12941.73838561778","0.093709"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","11.407351","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","16.526195","3","217.000000","211.999999999998","0.023041"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","46.454239","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","4.947403","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","27.155844","2","63.980000","54.76","0.144108"
"mad","easy","Feasible","13.708778","2","0.078400","0.0268","0.658163"
"graphdraw-domain","easy","Feasible","3.539678","2","25258.000000","19685.99997550038","0.220603"
"tr12-30","easy","Feasible","29.543415","1","134482.000000","130595.9999999999","0.028896"
"exp-1-500-5-5","easy","Feasible","4.503469","2","77420.000000","65887","0.148967"
"neos-3381206-awhea","easy","Feasible","9.282275","4","457.000000","453","0.008753"
"ic97_potential","easy","Feasible","130.458938","5","4058.000000","3941.99993090225","0.028586"
"neos-3627168-kasai","easy","Feasible","48.086898","2","1002881.960000","988585.6199999998","0.014255"
"binkar10_1","easy","Feasible","0.420187","2","6936.000013","6742.1998835","0.027941"
"csched008","easy","Feasible","1.730068","2","180.000000","173","0.038889"
"csched007","easy","Feasible","46.003482","3","464.000000","350.9999999999955","0.243534"
"beasleyC3","easy","Feasible","16.962390","2","1676.000000","753.9999999999128","0.550119"
"p200x1188c","easy","Feasible","0.099318","1","658196.000000","15078","0.977092"
"neos-4338804-snowy","hard","Feasible","1.803760","4","3137.000000","1471","0.531081"
"50v-10","easy","Feasible","0.026000","1","2733956.792799","3311.1799841","0.998789"
"pg","easy","Feasible","3.181987","1","-7981.569781","-8674.34260712","0.079865"
"mc11","easy","Feasible","33.745061","1","30152.000000","11688.99999999966","0.612331"
"gmu-35-40","easy","Feasible","135.255488","3","-2404621.766200","-2406733.3688","0.000877"
"neos-4954672-berkel","easy","Feasible","0.949302","1","3382267.333333","2612710","0.227527"
"mik-250-20-75-4","easy","Feasible","0.318541","4","89543.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.276714","10"," / ","211913"," / "
"pg5_34","easy","Feasible","1.527794","1","-13672.639108","-14339.35345","0.046495"
"n5-3","easy","Feasible","0.158032","1","5253855.000000","8104.999999993999","0.998457"
"lotsize","easy","Feasible","57.186382","2","1755144.999983","1480195","0.156654"
"ran14x18-disj-8","easy","Feasible","0.096512","1","8937.000000","3712","0.584648"
"rococoC10-001000","easy","Feasible","6.390534","10","43738.000000","11460","0.737985"
"gmu-35-50","easy","Feasible","225.384413","4","-2604103.133200","-2607958.33","0.001478"
"b1c1s1","easy","Feasible","52.015809","2","29116.060000","24544.25","0.157020"
"uct-subprob","easy","Feasible","72.461591","2","326.000000","314","0.036810"
"neos17","easy","Feasible","0.445231","1","0.407871","0.1500025774","0.632230"
"bppc4-08","easy","Feasible","10.927375","3","54.000000","53","0.018519"
"qap10","easy","Feasible","32.142549","4","576.000000","339.9999999983871","0.409722"
"cvs16r128-89","easy","Feasible","51.941370","10","-92.000000","-97","0.051546"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","857.350631","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","122.504458","3","-35678319.782785","-36800603.2332","0.030496"
"fhnw-binpack4-48","easy","Feasible","296.814984","8","0.000000","0","0.000000"
"rococoB10-011000","easy","Feasible","30.136090","6","49227.000000","19449","0.604912"
"roll3000","easy","Feasible","15.876577","4","14635.000000","12889.999992","0.119235"
"cost266-UUE","easy","Feasible","71.277233","2","27808178.910000","25148940.55999998","0.095628"
"icir97_tension","easy","Feasible","83.072119","4","6541.000000","6375","0.025378"
"neos-3024952-loue","easy","Feasible","378.528196","6","63379.000000","26756","0.577841"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","121.261415","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","6.229656","1","236.000000","230","0.025424"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","137.264628","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","106.979927","6","28863.000000","3644.99999999952","0.873714"
"neos-4387871-tavua","hard","Feasible","47.959275","2","47.526830","33.384729927","0.297560"
"sct2","easy","Feasible","46.104118","2","-229.368651","-230.9891623","0.007016"
"bnatt400","easy","Solution not found (time limit exceded)","162.314959","3"," / ","1"," / "
