"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.380877","1","10.000000","1","0.900000"
"markshare2","hard","Feasible","15.022994","1","25.000000","1","0.960000"
"enlight_hard","easy","Solution not found (iteration limit exceded)","21.702793","10"," / ","37"," / "
"pk1","easy","Feasible","0.560529","1","34.000000","11","0.676471"
"neos5","easy","Feasible","0.072344","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","0.002995","1","98176008.899594","6840.96564179","0.999930"
"neos859080","easy","Solution not found (iteration limit exceded)","1.173862","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","18.648966","3","1006969.000000","764771.99999978","0.240521"
"neos-3046615-murg","easy","Feasible","0.847374","8","1783.000000","1600","0.102636"
"sp150x300d","easy","Feasible","1.006029","5","101.000000","69","0.316832"
"mas76","easy","Feasible","7.720622","2","40426.054142","40005.05398999999","0.010414"
"mas74","easy","Feasible","15.022116","1","19542.856249","11801.18572","0.396138"
"gen-ip002","easy","Feasible","15.037442","3","-4783.733392","-4783.733392","0.000000"
"glass4","easy","Feasible","2.224683","2","1700014100.000000","1200012599.972384","0.294116"
"neos-3754480-nidda","easy","Feasible","30.042882","2","13134.701079","12941.73838561778","0.014691"
"neos-2657525-crna","easy","Feasible","23.818182","10","7.852852","1.810748","0.769415"
"assign1-5-8","easy","Feasible","30.043245","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","17.527014","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","8.569459","10","1895.235317","1745.123813","0.079205"
"neos-911970","easy","Feasible","15.109402","2","57.480000","54.76","0.047321"
"mad","easy","Feasible","5.006972","2","0.281400","0.0268","0.904762"
"graphdraw-domain","easy","Feasible","5.626851","5","23808.000000","19685.99997550038","0.173135"
"tr12-30","easy","Feasible","35.331596","3","138052.000000","130595.9999999999","0.054009"
"exp-1-500-5-5","easy","Feasible","2.637313","2","72850.000000","65887","0.095580"
"neos-3381206-awhea","easy","Feasible","19.817264","4","456.000000","453","0.006579"
"ic97_potential","easy","Feasible","66.898632","5","4086.000000","3941.99993090225","0.035242"
"neos-3627168-kasai","easy","Feasible","17.602960","2","1026409.400000","988585.6199999998","0.036851"
"binkar10_1","easy","Feasible","0.269364","1","6955.639992","6742.1998835","0.030686"
"csched008","easy","Feasible","18.956688","4","185.000000","173","0.064865"
"csched007","easy","Feasible","31.544990","3","479.000000","350.9999999999955","0.267223"
"beasleyC3","easy","Feasible","14.571016","2","1719.000000","753.9999999999128","0.561373"
"p200x1188c","easy","Feasible","0.038566","1","640546.000000","15078","0.976461"
"neos-4338804-snowy","hard","Feasible","2.169558","5","1783.000000","1471","0.174986"
"50v-10","easy","Feasible","0.025706","1","2638300.763044","3311.1799841","0.998745"
"pg","easy","Feasible","0.511731","1","-7988.817384","-8674.34260712","0.079029"
"mc11","easy","Feasible","8.752749","1","31173.000000","11688.99999999966","0.625028"
"gmu-35-40","easy","Feasible","63.526674","4","-2329517.791000","-2406733.3688","0.032083"
"neos-4954672-berkel","easy","Feasible","5.298837","1","3288612.000000","2612710","0.205528"
"mik-250-20-75-4","easy","Feasible","0.202516","4","80114.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.149627","10"," / ","211913"," / "
