"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.957200","1","10.000000","1","0.900000"
"markshare2","hard","Feasible","35.043160","1","22.000000","1","0.954545"
"enlight_hard","easy","Solution not found (time limit exceded)","44.222046","5"," / ","37"," / "
"pk1","easy","Feasible","0.185552","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.025779","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","5.066091","1","6870.674105","6840.96564179","0.004324"
"neos859080","easy","Solution not found (iteration limit exceded)","1.295816","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","38.370950","3","920216.000000","764771.99999978","0.168921"
"neos-3046615-murg","easy","Feasible","2.405246","5","2127.000000","1600","0.247767"
"sp150x300d","easy","Feasible","0.831523","5","95.000000","69","0.273684"
"mas76","easy","Feasible","0.557730","2","40210.054142","40005.05398999999","0.005098"
"mas74","easy","Feasible","15.543201","1","12231.948580","11801.18572","0.035216"
"gen-ip002","easy","Feasible","35.583173","8","-4634.249391","-4783.733392","0.031248"
"glass4","easy","Feasible","2.479409","2","2000018999.999995","1200012599.972384","0.399999"
"neos-3754480-nidda","easy","Feasible","35.026968","1","13604.668913","12941.73838561778","0.048728"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","23.318161","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","36.378215","2","214.000000","211.999999999998","0.009346"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","38.264776","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","12.512999","9","1887.158001","1745.123813","0.075264"
"neos-911970","easy","Feasible","34.606625","2","62.610000","54.76","0.125379"
"mad","easy","Feasible","20.857787","3","0.057200","0.0268","0.531469"
"graphdraw-domain","easy","Feasible","2.190844","3","24849.000000","19685.99997550038","0.207775"
"tr12-30","easy","Feasible","7.147805","1","134386.000000","130595.9999999999","0.028202"
"exp-1-500-5-5","easy","Feasible","2.658431","2","73706.000000","65887","0.106084"
"neos-3381206-awhea","easy","Feasible","1.814012","3","455.000000","453","0.004396"
"ic97_potential","easy","Feasible","68.414934","4","4046.000000","3941.99993090225","0.025704"
"neos-3627168-kasai","easy","Feasible","1.920471","1","1012069.530000","988585.6199999998","0.023204"
"binkar10_1","easy","Feasible","0.152432","1","6993.709998","6742.1998835","0.035962"
"csched008","easy","Feasible","10.810543","3","186.000000","173","0.069892"
"csched007","easy","Feasible","8.426587","2","535.000000","350.9999999999955","0.343925"
"beasleyC3","easy","Feasible","95.246012","4","1655.000000","753.9999999999128","0.544411"
"p200x1188c","easy","Feasible","0.067393","1","612462.000000","15078","0.975381"
"neos-4338804-snowy","hard","Feasible","1.734045","4","2009.000000","1471","0.267795"
"50v-10","easy","Feasible","0.025932","1","2332860.773861","3311.1799841","0.998581"
"pg","easy","Feasible","4.190136","1","-7966.046710","-8674.34260712","0.081654"
"mc11","easy","Feasible","4.002534","1","28483.000000","11688.99999999966","0.589615"
"gmu-35-40","easy","Feasible","73.526307","3","-2289224.865700","-2406733.3688","0.048825"
"neos-4954672-berkel","easy","Feasible","3.908406","1","3204421.000000","2612710","0.184655"
"mik-250-20-75-4","easy","Feasible","0.594221","4","93837.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.939114","10"," / ","211913"," / "
"pg5_34","easy","Feasible","6.445713","1","-13880.710460","-14339.35345","0.031985"
"n5-3","easy","Feasible","0.112335","1","5289293.000000","8104.999999993999","0.998468"
"lotsize","easy","Feasible","48.344180","2","1688752.995731","1480195","0.123498"
"ran14x18-disj-8","easy","Feasible","0.126566","1","9635.000000","3712","0.614738"
"rococoC10-001000","easy","Feasible","5.988319","7","29319.000000","11460","0.609127"
"gmu-35-50","easy","Feasible","138.712505","4","-2266366.605700","-2607958.33","0.130981"
"b1c1s1","easy","Feasible","35.223554","1","29661.570000","24544.25","0.172524"
"uct-subprob","easy","Feasible","39.634391","2","332.000000","314","0.054217"
"neos17","easy","Feasible","0.316728","1","0.301391","0.1500025774","0.502299"
"bppc4-08","easy","Feasible","13.322514","2","53.000000","53","0.000000"
"qap10","easy","Feasible","39.130703","5","482.000000","339.9999999983871","0.294606"
"cvs16r128-89","easy","Feasible","16.222079","7","-88.000000","-97","0.092784"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","635.328070","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","78.142789","4","-32244963.294917","-36800603.2332","0.123793"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","373.716190","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","98.959854","10"," / ","19449"," / "
"roll3000","easy","Feasible","14.778692","4","14569.000000","12889.999992","0.115245"
"cost266-UUE","easy","Feasible","105.308006","3","28128607.760000","25148940.55999998","0.105930"
"icir97_tension","easy","Feasible","42.821109","4","6613.000000","6375","0.035990"
"neos-3024952-loue","easy","Feasible","257.491669","5","81087.000000","26756","0.670033"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","85.978409","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","27.963455","1","827.000000","230","0.721886"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","158.164364","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","87.690018","7","14472.000000","3644.99999999952","0.748134"
"neos-4387871-tavua","hard","Feasible","77.597487","3","42.869990","33.384729927","0.221256"
"sct2","easy","Feasible","41.162812","3","-229.628208","-230.9891623","0.005892"
"bnatt400","easy","Solution not found (time limit exceded)","123.868807","3"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","36.311964","10"," / ","-3"," / "
"supportcase18","easy","Feasible","25.950103","3","48.000000","48","0.000000"
"seymour","easy","Feasible","34.393153","3","453.000000","423","0.066225"
"seymour1","easy","Feasible","26.277321","3","421.997517","410.76370139","0.026621"
"eil33-2","easy","Feasible","0.507908","3","1294.826924","934.007915999999","0.278662"
"rmatr100-p10","easy","Feasible","1.904365","2","444.000000","423","0.047297"
"bnatt500","easy","Solution not found (time limit exceded)","109.956335","2"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","19.779459","9","6583342.000000","6307996","0.041825"
"graph20-20-1rand","easy","Feasible","103.364242","6","-8.000000","-9","0.111111"
"neos-1582420","easy","Feasible","1.811869","4","155.000000","90.99999999999996","0.412903"
"swath1","easy","Feasible","7.419410","3","506.127483","379.07129575","0.251036"
"swath3","easy","Feasible","1.554728","3","506.886077","397.76134365","0.215285"
"peg-solitaire-a3","easy","Solution not found (time limit exceded)","250.657311","5"," / ","1"," / "
"neos-1456979","easy","Feasible","93.377449","5","208.000000","176","0.153846"
"cod105","easy","Feasible","140.649462","5","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","42.044264","3","8613.240978","6382.099048245999","0.259036"
"air05","easy","Feasible","22.688065","5","32071.000000","26374","0.177637"
"rocI-4-11","easy","Solution not found (time limit exceded)","197.653644","6"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","140.614208","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","48.409016","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.843645","1","40.000000","23","0.425000"
"drayage-100-23","easy","Feasible","2.955788","3","124879.976635","103333.87407","0.172534"
"drayage-25-23","easy","Feasible","3.255991","3","124329.175072","101282.647018","0.185367"
"nexp-150-20-8-5","easy","Feasible","36.038162","2","378.000000","231","0.388889"
"ns1208400","easy","Solution not found (time limit exceded)","175.156040","2"," / ","2"," / "
"traininstance6","easy","Solution not found (iteration limit exceded)","73.798867","10"," / ","28290"," / "
"dano3_3","easy","Feasible","46.605243","3","576.344633","576.34463303","0.000000"
"dano3_5","easy","Feasible","38.120844","1","579.622443","576.9249159565619","0.004654"
"neos-2978193-inde","easy","Feasible","1.399267","1","-2.226739","-2.38806169","0.067554"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","114.334720","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","155.873981","5"," / ","71820"," / "
"wachplan","easy","Feasible","3.359608","4","-8.000000","-8","0.000000"
"CMS750_4","easy","Feasible","88.211329","3","439.000000","252","0.425968"
"piperout-08","easy","Solution not found (time limit exceded)","84.079742","3"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (iteration limit exceded)","240.425373","10"," / ","20622"," / "
"decomp2","easy","Feasible","34.288189","8","-94.000000","-160","0.412500"
"comp21-2idx","easy","Feasible","74.313296","4","2764.000000","74","0.973227"
"neos-3216931-puriri","easy","Solution not found (time limit exceded)","211.475427","3"," / ","71320"," / "
"dws008-01","easy","Solution not found (time limit exceded)","104.992357","2"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","175.821648","2"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (time limit exceded)","53.894302","1"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","18.583269","1","207.059149","204.08170701","0.014380"
"trento1","easy","Feasible","37.482369","2","156076437.000000","5189487","0.966750"
"cbs-cta","easy","Feasible","1.029399","1","0.000000","0","0.000000"
"net12","easy","Feasible","38.332126","6","337.000000","214","0.364985"
"fiball","easy","Feasible","125.726799","6","153.000000","138","0.098039"
"mzzv11","easy","Solution not found (time limit exceded)","130.352652","3"," / ","-21718"," / "
"leo1","easy","Feasible","0.176762","2","1105123778.400000","404227536.16","0.634224"
"irp","easy","Feasible","0.997072","4","12417.233222","12159.49283539698","0.020757"
"mzzv42z","easy","Solution not found (time limit exceded)","89.659220","2"," / ","-20540"," / "
"neos-950242","easy","Solution not found (iteration limit exceded)","215.828614","10"," / ","4"," / "
