"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","1.187280","1","10.000000","1","0.900000"
"markshare2","hard","Feasible","25.037843","1","22.000000","1","0.954545"
"enlight_hard","easy","Solution not found (time limit exceded)","34.216114","5"," / ","37"," / "
"pk1","easy","Feasible","0.185841","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.025055","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","5.068629","1","6870.674105","6840.96564179","0.004324"
"neos859080","easy","Solution not found (iteration limit exceded)","1.297177","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","30.614448","3","920216.000000","764771.99999978","0.168921"
"neos-3046615-murg","easy","Feasible","2.426402","5","2127.000000","1600","0.247767"
"sp150x300d","easy","Feasible","0.828566","5","95.000000","69","0.273684"
"mas76","easy","Feasible","0.559832","2","40210.054142","40005.05398999999","0.005098"
"mas74","easy","Feasible","15.561823","1","12231.948580","11801.18572","0.035216"
"gen-ip002","easy","Feasible","25.571790","8","-4634.249391","-4783.733392","0.031248"
"glass4","easy","Feasible","2.517696","2","2000018999.999995","1200012599.972384","0.399999"
"neos-3754480-nidda","easy","Feasible","25.020277","1","13604.668913","12941.73838561778","0.048728"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","23.290010","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","26.372428","2","214.000000","211.999999999998","0.009346"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","28.254897","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","12.534059","9","1887.158001","1745.123813","0.075264"
"neos-911970","easy","Feasible","25.113331","2","62.610000","54.76","0.125379"
"mad","easy","Feasible","20.864922","3","0.057200","0.0268","0.531469"
"graphdraw-domain","easy","Feasible","2.185017","3","24849.000000","19685.99997550038","0.207775"
"tr12-30","easy","Feasible","7.144097","1","134386.000000","130595.9999999999","0.028202"
"exp-1-500-5-5","easy","Feasible","2.658506","2","73706.000000","65887","0.106084"
"neos-3381206-awhea","easy","Feasible","1.813533","3","455.000000","453","0.004396"
"ic97_potential","easy","Feasible","51.686044","4","4091.000000","3941.99993090225","0.036421"
"neos-3627168-kasai","easy","Feasible","1.922851","1","1012069.530000","988585.6199999998","0.023204"
"binkar10_1","easy","Feasible","0.152901","1","6993.709998","6742.1998835","0.035962"
"csched008","easy","Feasible","10.825170","3","186.000000","173","0.069892"
"csched007","easy","Feasible","8.434614","2","535.000000","350.9999999999955","0.343925"
"beasleyC3","easy","Feasible","75.277321","4","1655.000000","753.9999999999128","0.544411"
"p200x1188c","easy","Feasible","0.067881","1","612462.000000","15078","0.975381"
"neos-4338804-snowy","hard","Feasible","1.731959","4","2009.000000","1471","0.267795"
"50v-10","easy","Feasible","0.026191","1","2332860.773861","3311.1799841","0.998581"
"pg","easy","Feasible","4.197468","1","-7966.046710","-8674.34260712","0.081654"
"mc11","easy","Feasible","4.001917","1","28483.000000","11688.99999999966","0.589615"
"gmu-35-40","easy","Feasible","76.342712","3","-2330043.009800","-2406733.3688","0.031865"
"neos-4954672-berkel","easy","Feasible","3.890860","1","3204421.000000","2612710","0.184655"
"mik-250-20-75-4","easy","Feasible","0.593448","4","93837.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.926055","10"," / ","211913"," / "
"pg5_34","easy","Feasible","6.468347","1","-13880.710460","-14339.35345","0.031985"
"n5-3","easy","Feasible","0.112796","1","5289293.000000","8104.999999993999","0.998468"
"lotsize","easy","Feasible","38.346231","2","1688752.995731","1480195","0.123498"
"ran14x18-disj-8","easy","Feasible","0.126437","1","9635.000000","3712","0.614738"
"rococoC10-001000","easy","Feasible","5.973680","7","29319.000000","11460","0.609127"
"gmu-35-50","easy","Feasible","103.531160","4","-2489718.840100","-2607958.33","0.045338"
"b1c1s1","easy","Feasible","25.222060","1","29745.310000","24544.25","0.174853"
"uct-subprob","easy","Feasible","29.631382","2","332.000000","314","0.054217"
"neos17","easy","Feasible","0.317554","1","0.301391","0.1500025774","0.502299"
"bppc4-08","easy","Feasible","13.334736","2","53.000000","53","0.000000"
"qap10","easy","Feasible","27.447373","4","540.000000","339.9999999983871","0.370370"
"cvs16r128-89","easy","Feasible","53.161886","7","-90.000000","-97","0.072165"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","454.193072","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","55.357767","4","-34160824.151618","-36800603.2332","0.071732"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","269.542538","9"," / ","0"," / "
"rococoB10-011000","easy","Feasible","113.543198","9","51776.000000","19449","0.624363"
"roll3000","easy","Feasible","37.628904","7","13970.000000","12889.999992","0.077309"
"cost266-UUE","easy","Feasible","50.278028","2","28149481.040000","25148940.55999998","0.106593"
