"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.084841","1","59.000000","1","0.983051"
"markshare2","hard","Feasible","0.028400","1","222.000000","1","0.995495"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.329121","10"," / ","37"," / "
"pk1","easy","Feasible","0.027721","1","64.000000","11","0.828125"
"neos5","easy","Feasible","0.009749","1","17.500000","15","0.142857"
"gen-ip054","easy","Feasible","0.015583","2","5170960589.261573","6840.96564179","0.999999"
"neos859080","easy","Solution not found (iteration limit exceded)","0.472713","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","1.696909","7","1114427.000000","764771.99999978","0.313753"
"neos-3046615-murg","easy","Solution not found (iteration limit exceded)","0.460210","10"," / ","1600"," / "
"sp150x300d","easy","Solution not found (iteration limit exceded)","0.997543","10"," / ","69"," / "
"mas76","easy","Feasible","0.063067","4","52176.605785","40005.05398999999","0.233276"
"mas74","easy","Feasible","0.096158","3","20246.819665","11801.18572","0.417134"
"gen-ip002","easy","Solution not found (iteration limit exceded)","0.107717","10"," / ","-4783.733392"," / "
"glass4","easy","Feasible","0.323924","7","4125039574.999999","1200012599.972384","0.709091"
"neos-3754480-nidda","easy","Feasible","0.219529","2","15908.905061","12941.73838561778","0.186510"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","0.366223","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.104495","3","240.000000","211.999999999998","0.116667"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","0.783223","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","0.851473","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.209754","6","141.820000","54.76","0.613877"
"mad","easy","Feasible","0.075192","4","2.697600","0.0268","0.990065"
"graphdraw-domain","easy","Feasible","0.370942","8","37596.000000","19685.99997550038","0.476380"
"tr12-30","easy","Feasible","3.093211","6","159207.000000","130595.9999999999","0.179709"
"exp-1-500-5-5","easy","Feasible","1.443274","5","97123.000000","65887","0.321613"
