"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.683149","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","45.043778","1","19.000000","1","0.947368"
"enlight_hard","easy","Solution not found (iteration limit exceded)","60.302553","10"," / ","37"," / "
"pk1","easy","Feasible","0.591707","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.010336","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.003891","1","241298651.966856","6840.96564179","0.999972"
"neos859080","easy","Solution not found (iteration limit exceded)","1.889538","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","18.543000","3","1011446.000000","764771.99999978","0.243883"
"neos-3046615-murg","easy","Feasible","0.692459","5","2247.000000","1600","0.287939"
"sp150x300d","easy","Feasible","1.029667","5","103.000000","69","0.330097"
"mas76","easy","Feasible","0.656998","1","44479.147600","40005.05398999999","0.100589"
"mas74","easy","Feasible","9.644976","1","16909.574498","11801.18572","0.302100"
"gen-ip002","easy","Feasible","45.154386","5","-4759.066682","-4783.733392","0.005156"
"glass4","easy","Feasible","17.798585","2","1800017999.998000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","10.881200","1","16182.713949","12941.73838561778","0.200274"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","10.235129","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","56.635375","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","3.461612","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","2.068577","3","1961.461114","1745.123813","0.110294"
"neos-911970","easy","Feasible","1.545765","2","60.550000","54.76","0.095623"
"mad","easy","Feasible","23.915949","2","0.048000","0.0268","0.441667"
"graphdraw-domain","easy","Feasible","1.936675","2","38620.000000","19685.99997550038","0.490264"
"tr12-30","easy","Feasible","8.371128","1","134781.000000","130595.9999999999","0.031050"
"exp-1-500-5-5","easy","Feasible","4.024469","2","70979.000000","65887","0.071740"
"neos-3381206-awhea","easy","Feasible","3.400934","3","454.000000","453","0.002203"
"ic97_potential","easy","Feasible","65.846300","5","4056.000000","3941.99993090225","0.028107"
"neos-3627168-kasai","easy","Feasible","47.038323","2","1003359.170000","988585.6199999998","0.014724"
"binkar10_1","easy","Feasible","0.271864","1","6922.239994","6742.1998835","0.026009"
"csched008","easy","Feasible","2.810950","2","181.000000","173","0.044199"
"csched007","easy","Feasible","171.900834","4","526.000000","350.9999999999955","0.332700"
"beasleyC3","easy","Feasible","46.325653","3","1693.000000","753.9999999999128","0.554637"
"p200x1188c","easy","Feasible","0.061467","1","643631.000000","15078","0.976574"
"neos-4338804-snowy","hard","Feasible","0.779761","3","1850.000000","1471","0.204865"
"50v-10","easy","Feasible","0.026012","1","2946544.732297","3311.1799841","0.998876"
"pg","easy","Feasible","0.832693","1","-8222.091841","-8674.34260712","0.052137"
"mc11","easy","Feasible","7.162939","1","28208.000000","11688.99999999966","0.585614"
"gmu-35-40","easy","Feasible","210.082011","5","-2405980.390800","-2406733.3688","0.000313"
"neos-4954672-berkel","easy","Feasible","1.018860","1","3405536.000000","2612710","0.232805"
"mik-250-20-75-4","easy","Feasible","0.339670","4","69736.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.954917","10"," / ","211913"," / "
"pg5_34","easy","Feasible","2.796430","1","-13833.487739","-14339.35345","0.035278"
"n5-3","easy","Feasible","0.141241","1","5505480.000000","8104.999999993999","0.998528"
"lotsize","easy","Feasible","56.094725","2","2161297.000000","1480195","0.315136"
"ran14x18-disj-8","easy","Feasible","0.082637","1","8846.000000","3712","0.580375"
"rococoC10-001000","easy","Feasible","4.785251","7","30657.000000","11460","0.626187"
"gmu-35-50","easy","Feasible","141.918643","4","-2605748.510400","-2607958.33","0.000847"
"b1c1s1","easy","Feasible","45.106575","1","27537.040000","24544.25","0.108682"
"uct-subprob","easy","Feasible","50.640346","2","327.000000","314","0.039755"
"neos17","easy","Feasible","10.787741","2","0.572081","0.1500025774","0.737795"
"bppc4-08","easy","Feasible","45.094980","2","54.000000","53","0.018519"
"qap10","easy","Feasible","54.913347","7","540.000000","339.9999999983871","0.370370"
"cvs16r128-89","easy","Feasible","26.306861","7","-90.000000","-97","0.072165"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","780.443190","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","206.740214","7","-30921173.667198","-36800603.2332","0.159764"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","319.889535","5"," / ","0"," / "
"rococoB10-011000","easy","Feasible","47.921295","9","35667.000000","19449","0.454706"
"roll3000","easy","Feasible","43.421043","7","14805.000000","12889.999992","0.129348"
"cost266-UUE","easy","Feasible","90.257440","2","29689442.960000","25148940.55999998","0.152933"
"icir97_tension","easy","Feasible","134.488240","4","6641.000000","6375","0.040054"
"neos-3024952-loue","easy","Feasible","326.945532","5","72258.000000","26756","0.629716"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","136.384938","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","19.730435","1","236.000000","230","0.025424"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","225.591030","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","125.447990","7","25164.000000","3644.99999999952","0.855150"
"neos-4387871-tavua","hard","Feasible","92.440814","3","38.041570","33.384729927","0.122415"
"sct2","easy","Feasible","90.767533","3","-230.986509","-230.9891623","0.000011"
"bnatt400","easy","Solution not found (time limit exceded)","242.930246","9"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","46.110088","10"," / ","-3"," / "
"supportcase18","easy","Feasible","76.238939","5","48.000000","48","0.000000"
"seymour","easy","Feasible","17.898084","3","460.000000","423","0.080435"
"seymour1","easy","Feasible","29.734564","3","416.828939","410.76370139","0.014551"
"eil33-2","easy","Feasible","1.931827","3","1083.357515","934.007915999999","0.137858"
"rmatr100-p10","easy","Feasible","2.234478","2","474.000000","423","0.107595"
"bnatt500","easy","Solution not found (time limit exceded)","145.100814","2"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","15.278831","5","6864353.000000","6307996","0.081050"
"graph20-20-1rand","easy","Feasible","210.516535","9","-5.000000","-9","0.444444"
"neos-1582420","easy","Feasible","2.020376","4","128.000000","90.99999999999996","0.289063"
"swath1","easy","Feasible","2.071147","3","381.511406","379.07129575","0.006396"
"swath3","easy","Feasible","13.925385","3","506.891283","397.76134365","0.215293"
"peg-solitaire-a3","easy","Solution not found (time limit exceded)","251.273057","5"," / ","1"," / "
"neos-1456979","easy","Feasible","69.009444","4","200.000000","176","0.120000"
"cod105","easy","Feasible","96.908321","4","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","54.992856","3","9577.649696","6382.099048245999","0.333647"
"air05","easy","Feasible","11.139691","4","33480.000000","26374","0.212246"
"rocI-4-11","easy","Solution not found (time limit exceded)","372.091240","5"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","180.664938","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","55.940159","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.697643","1","42.000000","23","0.452381"
"drayage-100-23","easy","Feasible","3.701201","3","195211.408710","103333.87407","0.470657"
"drayage-25-23","easy","Feasible","16.185390","4","113501.474075","101282.647018","0.107653"
"nexp-150-20-8-5","easy","Feasible","91.154662","3","297.000000","231","0.222222"
"ns1208400","easy","Solution not found (time limit exceded)","402.305412","4"," / ","2"," / "
"traininstance6","easy","Solution not found (time limit exceded)","88.794828","8"," / ","28290"," / "
"dano3_3","easy","Feasible","38.291758","3","576.344633","576.34463303","0.000000"
"dano3_5","easy","Feasible","80.897831","2","578.648269","576.9249159565619","0.002978"
"neos-2978193-inde","easy","Feasible","2.241503","1","-2.005996","-2.38806169","0.159990"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","144.139828","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","183.958342","5"," / ","71820"," / "
"wachplan","easy","Feasible","7.092143","4","-8.000000","-8","0.000000"
"CMS750_4","easy","Feasible","67.573810","3","445.000000","252","0.433708"
"piperout-08","easy","Solution not found (time limit exceded)","200.793906","5"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (iteration limit exceded)","404.055103","10"," / ","20622"," / "
"decomp2","easy","Feasible","35.418245","9","-93.000000","-160","0.418750"
"comp21-2idx","easy","Feasible","48.399550","3","3275.000000","74","0.977405"
"neos-3216931-puriri","easy","Solution not found (time limit exceded)","429.168265","5"," / ","71320"," / "
"dws008-01","easy","Solution not found (time limit exceded)","100.399044","2"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","121.172901","1"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (iteration limit exceded)","269.067686","10"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","19.345053","2","242.840379","204.08170701","0.159606"
"trento1","easy","Feasible","42.533258","2","96095125.000300","5189487","0.945996"
"cbs-cta","easy","Feasible","1.146527","1","0.000000","0","0.000000"
"net12","easy","Feasible","31.358404","5","337.000000","214","0.364985"
"fiball","easy","Feasible","155.059255","5","143.000000","138","0.034965"
"mzzv11","easy","Solution not found (time limit exceded)","110.746026","2"," / ","-21718"," / "
"leo1","easy","Feasible","0.640124","3","991738548.000000","404227536.16","0.592405"
"irp","easy","Feasible","2.048438","3","12203.958046","12159.49283539698","0.003644"
"mzzv42z","easy","Solution not found (time limit exceded)","56.187854","1"," / ","-20540"," / "
"neos-950242","easy","Feasible","268.844957","9","16.000000","4","0.750000"
"neos-1354092","easy","Solution not found (time limit exceded)","190.955383","2"," / ","46"," / "
"30n20b8","easy","Solution not found (iteration limit exceded)","84.599509","10"," / ","302"," / "
