"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.643416","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","30.058632","1","30.000000","1","0.966667"
"enlight_hard","easy","Solution not found (iteration limit exceded)","5.802284","5"," / ","37"," / "
"pk1","easy","Feasible","0.750287","1","39.000000","11","0.717949"
"neos5","easy","Feasible","0.005540","1","17.000000","15","0.117647"
"gen-ip054","easy","Feasible","0.003432","1","25909260.916594","6840.96564179","0.999736"
"neos859080","easy","Solution not found (iteration limit exceded)","0.628658","5"," / ","Infeasible"," / "
"timtab1","easy","Feasible","26.222001","3","927691.000000","764771.99999978","0.175618"
"neos-3046615-murg","easy","Solution not found (iteration limit exceded)","9.529359","5"," / ","1600"," / "
"sp150x300d","easy","Feasible","0.485025","4","106.000000","69","0.349057"
"mas76","easy","Feasible","2.328022","1","47790.575269","40005.05398999999","0.162909"
"mas74","easy","Feasible","5.673350","1","15628.632084","11801.18572","0.244900"
"gen-ip002","easy","Feasible","30.097731","4","-4759.983142","-4783.733392","0.004965"
"glass4","easy","Feasible","0.123760","2","2400021793.302518","1200012599.972384","0.499999"
"neos-3754480-nidda","easy","Feasible","9.493056","1","14538.175080","12941.73838561778","0.109810"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","3.364174","5"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","33.160534","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","30.683869","5"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","6.811491","5"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","30.814889","3","110.740000","54.76","0.505508"
"mad","easy","Feasible","0.803897","2","0.223600","0.0268","0.880143"
"graphdraw-domain","easy","Feasible","2.047580","2","28552.000000","19685.99997550038","0.310521"
"tr12-30","easy","Feasible","3.346614","1","133665.000000","130595.9999999999","0.022960"
"exp-1-500-5-5","easy","Feasible","4.719787","2","77047.000000","65887","0.144847"
"neos-3381206-awhea","easy","Feasible","22.318716","4","455.000000","453","0.004396"
"ic97_potential","easy","Solution not found (iteration limit exceded)","62.093672","5"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","31.627549","2","1002061.890000","988585.6199999998","0.013449"
"binkar10_1","easy","Feasible","0.729383","2","6984.750013","6742.1998835","0.034726"
"csched008","easy","Feasible","2.897594","2","176.000000","173","0.017045"
"csched007","easy","Feasible","37.299881","3","493.000000","350.9999999999955","0.288032"
"beasleyC3","easy","Feasible","85.303665","4","1635.000000","753.9999999999128","0.538838"
"p200x1188c","easy","Feasible","0.184509","1","650072.000000","15078","0.976806"
"neos-4338804-snowy","hard","Feasible","0.856894","3","2490.000000","1471","0.409237"
