"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.545985","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","15.029653","1","33.000000","1","0.969697"
"enlight_hard","easy","Solution not found (iteration limit exceded)","12.016152","10"," / ","37"," / "
"pk1","easy","Feasible","0.613494","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.009035","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.003366","1","241298651.966856","6840.96564179","0.999972"
"neos859080","easy","Solution not found (iteration limit exceded)","2.341952","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","13.018452","3","1047215.000000","764771.99999978","0.269709"
"neos-3046615-murg","easy","Feasible","0.692546","5","2247.000000","1600","0.287939"
"sp150x300d","easy","Feasible","0.817728","5","103.000000","69","0.330097"
"mas76","easy","Feasible","0.495295","1","44479.147600","40005.05398999999","0.100589"
"mas74","easy","Feasible","8.537309","1","16909.574498","11801.18572","0.302100"
"gen-ip002","easy","Feasible","15.071673","5","-4757.549385","-4783.733392","0.005474"
"glass4","easy","Feasible","15.076993","2","1800018000.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","7.928931","1","16182.713949","12941.73838561778","0.200274"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","10.023915","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","22.044700","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","2.226807","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","2.241628","3","1961.461114","1745.123813","0.110294"
"neos-911970","easy","Feasible","0.780677","2","62.420000","54.76","0.122717"
"mad","easy","Feasible","9.215525","2","0.048000","0.0268","0.441667"
"graphdraw-domain","easy","Feasible","1.921951","2","38620.000000","19685.99997550038","0.490264"
"tr12-30","easy","Feasible","7.308203","1","134781.000000","130595.9999999999","0.031050"
"exp-1-500-5-5","easy","Feasible","3.723478","2","70979.000000","65887","0.071740"
"neos-3381206-awhea","easy","Feasible","3.108978","3","453.000000","453","0.000000"
"ic97_potential","easy","Feasible","98.444426","7","4052.000000","3941.99993090225","0.027147"
"neos-3627168-kasai","easy","Feasible","6.486724","1","1013850.980000","988585.6199999998","0.024920"
"binkar10_1","easy","Feasible","0.814451","2","6853.090025","6742.1998835","0.016181"
"csched008","easy","Feasible","3.542449","3","187.000000","173","0.074866"
"csched007","easy","Feasible","30.116341","3","570.000000","350.9999999999955","0.384211"
"beasleyC3","easy","Feasible","33.266528","3","1658.000000","753.9999999999128","0.545235"
"p200x1188c","easy","Feasible","0.527152","1","645671.000000","15078","0.976648"
"neos-4338804-snowy","hard","Feasible","2.742057","4","3048.000000","1471","0.517388"
"50v-10","easy","Feasible","0.025844","1","2362654.953836","3311.1799841","0.998599"
"pg","easy","Feasible","1.183513","1","-8277.557231","-8674.34260712","0.045742"
"mc11","easy","Feasible","6.776943","1","31155.000000","11688.99999999966","0.624811"
"gmu-35-40","easy","Feasible","47.396311","3","-2369943.515500","-2406733.3688","0.015286"
"neos-4954672-berkel","easy","Feasible","1.376247","1","3497605.000000","2612710","0.253000"
"mik-250-20-75-4","easy","Feasible","0.556646","2","62923.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.435688","10"," / ","211913"," / "
"pg5_34","easy","Feasible","1.206193","1","-13661.478465","-14339.35345","0.047274"
"n5-3","easy","Feasible","0.112164","1","5260045.000000","8104.999999993999","0.998459"
"lotsize","easy","Feasible","26.679697","2","1894283.000000","1480195","0.218599"
"ran14x18-disj-8","easy","Feasible","0.079074","1","9936.000000","3712","0.626409"
"rococoC10-001000","easy","Feasible","5.177750","9","34065.000000","11460","0.663584"
"gmu-35-50","easy","Feasible","48.825907","4","-2565390.760600","-2607958.33","0.016322"
"b1c1s1","easy","Feasible","15.096387","1","30772.620000","24544.25","0.202400"
"uct-subprob","easy","Feasible","21.322965","2","340.000000","314","0.076471"
"neos17","easy","Feasible","0.384477","1","0.355007","0.1500025774","0.577466"
"bppc4-08","easy","Feasible","19.335879","3","56.000000","53","0.053571"
"qap10","easy","Feasible","8.617772","3","482.000000","339.9999999983871","0.294606"
"cvs16r128-89","easy","Feasible","7.441989","6","-87.000000","-97","0.103093"
"milo-v12-6-r2-40-1","easy","Feasible","138.749366","5","428328.781285","326481.14282799","0.237779"
"reblock115","easy","Feasible","31.578365","4","-29516826.022478","-36800603.2332","0.197925"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","172.865363","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (time limit exceded)","78.760299","6"," / ","19449"," / "
"roll3000","easy","Feasible","53.390317","7","13931.000000","12889.999992","0.074725"
"cost266-UUE","easy","Feasible","30.148443","2","27667147.280000","25148940.55999998","0.091018"
"icir97_tension","easy","Feasible","60.700407","4","6567.000000","6375","0.029237"
"neos-3024952-loue","easy","Feasible","134.999663","6","71098.000000","26756","0.623674"
"neos-4738912-atrato","easy","Feasible","50.429146","7","822210905.193440","283627956.595","0.655042"
"fastxgemm-n2r6s0t2","easy","Feasible","15.150245","1","527.000000","230","0.563567"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","106.372353","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","70.905332","9","24957.000000","3644.99999999952","0.853949"
"neos-4387871-tavua","hard","Feasible","32.130933","3","40.869990","33.384729927","0.183148"
"sct2","easy","Feasible","30.880133","3","-228.339705","-230.9891623","0.011470"
"bnatt400","easy","Solution not found (time limit exceded)","52.467742","2"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","15.949453","10"," / ","-3"," / "
"supportcase18","easy","Feasible","15.438180","3","49.000000","48","0.020408"
"seymour","easy","Feasible","8.912079","3","452.000000","423","0.064159"
"seymour1","easy","Feasible","22.332199","2","421.399740","410.76370139","0.025240"
"eil33-2","easy","Feasible","0.164470","3","2069.340161","934.007915999999","0.548645"
"rmatr100-p10","easy","Feasible","2.139221","2","446.000000","423","0.051570"
"bnatt500","easy","Solution not found (time limit exceded)","74.995291","3"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","9.551819","8","6648047.000000","6307996","0.051151"
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","42.509338","10"," / ","-9"," / "
"neos-1582420","easy","Feasible","1.052844","3","150.000000","90.99999999999996","0.393333"
"swath1","easy","Feasible","1.537674","3","501.329213","379.07129575","0.243868"
"swath3","easy","Feasible","1.073205","3","482.632216","397.76134365","0.175850"
"peg-solitaire-a3","easy","Solution not found (time limit exceded)","90.736224","4"," / ","1"," / "
"neos-1456979","easy","Feasible","61.599593","5","215.000000","176","0.181395"
"cod105","easy","Feasible","44.504058","4","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","24.576365","3","9044.790608","6382.099048245999","0.294390"
"air05","easy","Feasible","19.150476","4","30926.000000","26374","0.147190"
"rocI-4-11","easy","Solution not found (time limit exceded)","58.715738","1"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","60.591708","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","30.100436","2","-194.000000","-195","0.005128"
"glass-sc","easy","Feasible","4.462197","1","45.000000","23","0.488889"
"drayage-100-23","easy","Feasible","4.417086","3","136330.205555","103333.87407","0.242032"
"drayage-25-23","easy","Feasible","2.994402","3","142129.271908","101282.647018","0.287391"
"nexp-150-20-8-5","easy","Feasible","15.952368","2","369.000000","231","0.373984"
"ns1208400","easy","Solution not found (time limit exceded)","135.216009","4"," / ","2"," / "
"traininstance6","easy","Solution not found (iteration limit exceded)","68.848518","10"," / ","28290"," / "
"dano3_3","easy","Feasible","23.243343","2","577.117806","576.34463303","0.001340"
"dano3_5","easy","Feasible","36.472035","2","579.928000","576.9249159565619","0.005178"
"neos-2978193-inde","easy","Feasible","2.714570","1","-2.168940","-2.38806169","0.091757"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","54.558489","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","79.254839","5"," / ","71820"," / "
"wachplan","easy","Feasible","6.497731","6","-8.000000","-8","0.000000"
"CMS750_4","easy","Feasible","21.853506","2","423.000000","252","0.404255"
"piperout-08","easy","Solution not found (time limit exceded)","30.156577","1"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (time limit exceded)","63.526399","3"," / ","20622"," / "
"decomp2","easy","Feasible","27.487746","8","-98.000000","-160","0.387500"
"comp21-2idx","easy","Feasible","48.842640","4","1447.000000","74","0.948860"
"neos-3216931-puriri","easy","Solution not found (time limit exceded)","47.829115","2"," / ","71320"," / "
"dws008-01","easy","Solution not found (time limit exceded)","64.832109","2"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","56.631680","1"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (time limit exceded)","28.444373","1"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","30.766554","2","212.961369","204.08170701","0.041696"
"trento1","easy","Feasible","18.027661","2","126287436.001800","5189487","0.958907"
"cbs-cta","easy","Feasible","1.103154","1","0.000000","0","0.000000"
"net12","easy","Feasible","34.770554","6","337.000000","214","0.364985"
"fiball","easy","Feasible","47.619713","4","205.000000","138","0.326829"
"mzzv11","easy","Solution not found (time limit exceded)","29.643280","1"," / ","-21718"," / "
"leo1","easy","Feasible","0.524368","3","3196947618.559999","404227536.16","0.873558"
"irp","easy","Feasible","1.947964","4","12948.667051","12159.49283539698","0.060946"
