"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.614605","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","25.027299","1","19.000000","1","0.947368"
"enlight_hard","easy","Solution not found (iteration limit exceded)","58.359072","10"," / ","37"," / "
"pk1","easy","Feasible","0.591041","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.010383","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.003890","1","241298651.966856","6840.96564179","0.999972"
"neos859080","easy","Solution not found (iteration limit exceded)","1.877024","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","18.507080","3","1011446.000000","764771.99999978","0.243883"
"neos-3046615-murg","easy","Feasible","0.689821","5","2247.000000","1600","0.287939"
"sp150x300d","easy","Feasible","1.026657","5","103.000000","69","0.330097"
"mas76","easy","Feasible","0.654018","1","44479.147600","40005.05398999999","0.100589"
"mas74","easy","Feasible","9.648736","1","16909.574498","11801.18572","0.302100"
"gen-ip002","easy","Feasible","25.100928","5","-4757.549385","-4783.733392","0.005474"
"glass4","easy","Feasible","17.835538","2","1800017999.998000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","10.888583","1","16182.713949","12941.73838561778","0.200274"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","10.235859","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","36.627876","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","3.466103","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","2.060325","3","1961.461114","1745.123813","0.110294"
"neos-911970","easy","Feasible","1.541918","2","60.550000","54.76","0.095623"
"mad","easy","Feasible","23.898998","2","0.048000","0.0268","0.441667"
"graphdraw-domain","easy","Feasible","1.935271","2","38620.000000","19685.99997550038","0.490264"
"tr12-30","easy","Feasible","8.342668","1","134781.000000","130595.9999999999","0.031050"
"exp-1-500-5-5","easy","Feasible","4.026428","2","70979.000000","65887","0.071740"
"neos-3381206-awhea","easy","Feasible","3.394171","3","454.000000","453","0.002203"
"ic97_potential","easy","Feasible","65.855475","5","4056.000000","3941.99993090225","0.028107"
"neos-3627168-kasai","easy","Feasible","27.013305","2","1003359.170000","988585.6199999998","0.014724"
"binkar10_1","easy","Feasible","0.271633","1","6922.239994","6742.1998835","0.026009"
"csched008","easy","Feasible","2.808995","2","181.000000","173","0.044199"
"csched007","easy","Feasible","105.663722","4","479.000000","350.9999999999955","0.267223"
"beasleyC3","easy","Feasible","43.706714","3","1693.000000","753.9999999999128","0.554637"
"p200x1188c","easy","Feasible","0.060603","1","643631.000000","15078","0.976574"
"neos-4338804-snowy","hard","Feasible","0.779520","3","1850.000000","1471","0.204865"
"50v-10","easy","Feasible","0.026057","1","2946544.732297","3311.1799841","0.998876"
"pg","easy","Feasible","0.829809","1","-8222.091841","-8674.34260712","0.052137"
"mc11","easy","Feasible","7.144511","1","28208.000000","11688.99999999966","0.585614"
"gmu-35-40","easy","Feasible","110.756360","5","-2373874.847600","-2406733.3688","0.013653"
"neos-4954672-berkel","easy","Feasible","1.014180","1","3405536.000000","2612710","0.232805"
"mik-250-20-75-4","easy","Feasible","0.357180","4","69736.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.946564","10"," / ","211913"," / "
"pg5_34","easy","Feasible","2.793864","1","-13833.487739","-14339.35345","0.035278"
"n5-3","easy","Feasible","0.141225","1","5505480.000000","8104.999999993999","0.998528"
"lotsize","easy","Feasible","34.980391","2","2047114.000000","1480195","0.276936"
"ran14x18-disj-8","easy","Feasible","0.082530","1","8846.000000","3712","0.580375"
"rococoC10-001000","easy","Feasible","4.773630","7","30657.000000","11460","0.626187"
"gmu-35-50","easy","Feasible","122.370982","5","-2605788.692100","-2607958.33","0.000832"
"b1c1s1","easy","Feasible","44.429336","2","28946.350000","24544.25","0.152078"
"uct-subprob","easy","Feasible","32.532779","2","327.000000","314","0.039755"
"neos17","easy","Feasible","5.323981","2","0.283303","0.1500025774","0.470522"
"bppc4-08","easy","Feasible","0.773381","2","57.000000","53","0.070175"
"qap10","easy","Feasible","30.112804","4","448.000000","339.9999999983871","0.241071"
"cvs16r128-89","easy","Feasible","25.263814","7","-91.000000","-97","0.061856"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","477.346663","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","83.341186","5","-35228373.970725","-36800603.2332","0.042723"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","318.764096","9"," / ","0"," / "
"rococoB10-011000","easy","Feasible","76.922101","8","44381.000000","19449","0.561772"
"roll3000","easy","Feasible","45.439747","6","13222.000000","12889.999992","0.025110"
"cost266-UUE","easy","Feasible","75.298559","3","27923720.680000","25148940.55999998","0.099370"
"icir97_tension","easy","Feasible","77.932270","4","6594.000000","6375","0.033212"
"neos-3024952-loue","easy","Feasible","153.351531","4","68309.000000","26756","0.608309"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","81.398273","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","25.140897","1","527.000000","230","0.563567"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","135.926811","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","93.444007","9","22302.000000","3644.99999999952","0.836562"
"neos-4387871-tavua","hard","Feasible","27.317555","2","55.355250","33.384729927","0.396900"
"sct2","easy","Feasible","25.906362","2","-230.921227","-230.9891623","0.000294"
"bnatt400","easy","Solution not found (iteration limit exceded)","175.665485","10"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","26.066423","10"," / ","-3"," / "
"supportcase18","easy","Feasible","26.012052","4","49.000000","48","0.020408"
"seymour","easy","Feasible","28.614810","3","453.000000","423","0.066225"
"seymour1","easy","Feasible","34.405047","3","418.603200","410.76370139","0.018728"
"eil33-2","easy","Feasible","0.221701","3","2759.399403","934.007915999999","0.661518"
"rmatr100-p10","easy","Feasible","8.058592","2","456.000000","423","0.072368"
"bnatt500","easy","Solution not found (time limit exceded)","120.726308","3"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","3.376017","5","6602044.000000","6307996","0.044539"
"graph20-20-1rand","easy","Feasible","55.412632","6","-8.000000","-9","0.111111"
"neos-1582420","easy","Feasible","2.638267","5","135.000000","90.99999999999996","0.325926"
"swath1","easy","Feasible","1.909793","3","381.700821","379.07129575","0.006889"
"swath3","easy","Feasible","1.039352","3","586.151880","397.76134365","0.321402"
"peg-solitaire-a3","easy","Solution not found (time limit exceded)","156.700642","5"," / ","1"," / "
"neos-1456979","easy","Feasible","48.618338","4","242.000000","176","0.272727"
"cod105","easy","Feasible","63.967916","4","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","58.608336","4","7971.121182","6382.099048245999","0.199347"
"air05","easy","Feasible","22.146336","4","31792.000000","26374","0.170420"
"rocI-4-11","easy","Solution not found (time limit exceded)","196.506480","5"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","100.604439","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","40.541419","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","2.867812","1","43.000000","23","0.465116"
"drayage-100-23","easy","Feasible","11.251677","5","123987.516804","103333.87407","0.166578"
"drayage-25-23","easy","Feasible","3.844316","3","153040.397987","101282.647018","0.338197"
"nexp-150-20-8-5","easy","Feasible","51.275107","3","301.000000","231","0.232558"
"ns1208400","easy","Solution not found (time limit exceded)","125.153006","2"," / ","2"," / "
"traininstance6","easy","Feasible","28.469925","10","119380.000000","28290","0.763026"
"dano3_3","easy","Feasible","43.381220","3","576.344633","576.34463303","0.000000"
"dano3_5","easy","Feasible","53.923336","2","579.130982","576.9249159565619","0.003809"
"neos-2978193-inde","easy","Feasible","3.869168","1","-1.039055","-2.38806169","0.564896"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","90.825655","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","90.958247","6"," / ","71820"," / "
