"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.307728","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","30.056282","1","30.000000","1","0.966667"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.065577","15"," / ","37"," / "
"pk1","easy","Feasible","0.263753","1","29.000000","11","0.620690"
"neos5","easy","Feasible","0.009395","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","0.003680","1","36651865.428018","6840.96564179","0.999813"
"neos859080","easy","Solution not found (iteration limit exceded)","0.930291","15"," / ","Infeasible"," / "
"timtab1","easy","Feasible","21.776643","4","918372.000000","764771.99999978","0.167252"
"neos-3046615-murg","easy","Feasible","0.451468","4","2629.000000","1600","0.391404"
"sp150x300d","easy","Feasible","0.910891","5","99.000000","69","0.303030"
"mas76","easy","Feasible","0.895052","1","45673.807964","40005.05398999999","0.124114"
"mas74","easy","Feasible","0.665417","1","19280.787237","11801.18572","0.387930"
"gen-ip002","easy","Feasible","11.310350","4","-4753.182035","-4783.733392","0.006387"
"glass4","easy","Feasible","1.186191","2","2033352991.666667","1200012599.972384","0.409836"
"neos-3754480-nidda","easy","Feasible","30.020178","1","13893.090129","12941.73838561778","0.068477"
"neos-2657525-crna","easy","Feasible","4.532131","9","11.862654","1.810748","0.847357"
"assign1-5-8","easy","Feasible","60.056916","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","","32.871531","15"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","5.359981","10","2073.948100","1745.123813","0.158550"
"neos-911970","easy","Feasible","30.070771","2","88.830000","54.76","0.383542"
"mad","easy","Feasible","18.525622","2","0.060000","0.0268","0.553333"
"graphdraw-domain","easy","Feasible","1.297910","3","24498.000000","19685.99997550038","0.196424"
"tr12-30","easy","Feasible","3.545848","1","134168.000000","130595.9999999999","0.026623"
"exp-1-500-5-5","easy","Feasible","3.553060","2","70436.000000","65887","0.064583"
"neos-3381206-awhea","easy","Feasible","35.336435","4","455.000000","453","0.004396"
"ic97_potential","easy","Feasible","81.854099","7","4110.000000","3941.99993090225","0.040876"
"neos-3627168-kasai","easy","Feasible","2.208956","1","1005412.080000","988585.6199999998","0.016736"
"binkar10_1","easy","Feasible","0.222642","1","7018.099992","6742.1998835","0.039313"
"csched008","easy","Feasible","0.771686","2","177.000000","173","0.022599"
"csched007","easy","Feasible","81.055562","3","422.000000","350.9999999999955","0.168246"
"beasleyC3","easy","Feasible","12.870678","2","1626.000000","753.9999999999128","0.536285"
"p200x1188c","easy","Feasible","0.069667","1","686287.000000","15078","0.978030"
"neos-4338804-snowy","hard","Feasible","1.116713","4","2596.000000","1471","0.433359"
"50v-10","easy","Feasible","0.023588","1","2409620.803703","3311.1799841","0.998626"
"pg","easy","Feasible","0.949677","1","-7900.613479","-8674.34260712","0.089197"
"mc11","easy","Feasible","6.911246","1","28092.000000","11688.99999999966","0.583903"
"gmu-35-40","easy","Feasible","44.800926","3","-2352000.394900","-2406733.3688","0.022742"
"neos-4954672-berkel","easy","Feasible","10.420933","1","3019784.000000","2612710","0.134802"
"mik-250-20-75-4","easy","Feasible","1.419368","4","51464.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","4.950753","15"," / ","211913"," / "
"pg5_34","easy","Feasible","0.427343","1","-13593.110577","-14339.35345","0.052042"
"n5-3","easy","Feasible","0.113608","1","5191400.000000","8104.999999993999","0.998439"
"lotsize","easy","Feasible","76.172011","3","1850880.000000","1480195","0.200275"
"ran14x18-disj-8","easy","Feasible","0.041759","1","8507.000000","3712","0.563653"
"rococoC10-001000","easy","Feasible","14.747652","9","25533.000000","11460","0.551169"
"gmu-35-50","easy","Feasible","85.830474","4","-2280008.372900","-2607958.33","0.125750"
"b1c1s1","easy","Feasible","74.318626","3","27614.660000","24544.25","0.111188"
