"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.376212","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","30.033727","1","19.000000","1","0.947368"
"enlight_hard","easy","Solution not found (iteration limit exceded)","5.227991","10"," / ","37"," / "
"pk1","easy","Feasible","0.596150","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.013478","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.007136","1","1389108893.584634","6840.96564179","0.999995"
"neos859080","easy","Solution not found (iteration limit exceded)","1.938563","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","18.484542","3","1011446.000000","764771.99999978","0.243883"
"neos-3046615-murg","easy","Feasible","0.073638","2","2529.000000","1600","0.367339"
"sp150x300d","easy","Feasible","0.266725","3","105.000000","69","0.342857"
"mas76","easy","Feasible","1.074308","1","42150.450193","40005.05398999999","0.050899"
"mas74","easy","Feasible","28.315136","1","14484.201604","11801.18572","0.185237"
"gen-ip002","easy","Feasible","23.128765","5","-4772.597453","-4783.733392","0.002328"
"glass4","easy","Feasible","0.412543","2","2300023100.000000","1200012599.972384","0.478261"
"neos-3754480-nidda","easy","Feasible","13.622621","1","13298.246713","12941.73838561778","0.026809"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","5.332686","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.222397","1","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","7.722885","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","4.994901","9","1996.998524","1745.123813","0.126127"
"neos-911970","easy","Feasible","2.018670","2","86.540000","54.76","0.367229"
"mad","easy","Feasible","4.157621","2","0.498000","0.0268","0.946185"
"graphdraw-domain","easy","Feasible","1.252834","2","29665.000000","19685.99997550038","0.336390"
"tr12-30","easy","Feasible","3.812485","1","133161.000000","130595.9999999999","0.019262"
"exp-1-500-5-5","easy","Feasible","4.036734","2","78297.000000","65887","0.158499"
"neos-3381206-awhea","easy","Feasible","6.279559","4","456.000000","453","0.006579"
"ic97_potential","easy","Feasible","87.466656","5","4068.000000","3941.99993090225","0.030973"
"neos-3627168-kasai","easy","Feasible","5.353123","1","1038003.120000","988585.6199999998","0.047608"
"binkar10_1","easy","Feasible","0.309660","1","6965.649999","6742.1998835","0.032079"
"csched008","easy","Feasible","0.780250","2","184.000000","173","0.059783"
"csched007","easy","Feasible","151.872287","5","415.000000","350.9999999999955","0.154217"
"beasleyC3","easy","Feasible","44.227184","3","1689.000000","753.9999999999128","0.553582"
"p200x1188c","easy","Feasible","0.060992","1","655715.000000","15078","0.977005"
"neos-4338804-snowy","hard","Feasible","2.532241","4","1744.000000","1471","0.156537"
"50v-10","easy","Feasible","0.036499","1","2882707.042397","3311.1799841","0.998851"
"pg","easy","Feasible","1.173530","1","-8009.974809","-8674.34260712","0.076590"
"mc11","easy","Feasible","5.383016","1","30278.000000","11688.99999999966","0.613944"
"gmu-35-40","easy","Feasible","111.034971","4","-2373535.970400","-2406733.3688","0.013794"
"neos-4954672-berkel","easy","Feasible","9.096835","1","3383821.000000","2612710","0.227882"
