"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.669933","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","35.036984","1","19.000000","1","0.947368"
"enlight_hard","easy","Solution not found (iteration limit exceded)","60.259795","10"," / ","37"," / "
"pk1","easy","Feasible","0.591181","1","25.000000","11","0.560000"
"neos5","easy","Feasible","0.010169","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.003880","1","241298651.966856","6840.96564179","0.999972"
"neos859080","easy","Solution not found (iteration limit exceded)","1.875922","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","18.474064","3","1011446.000000","764771.99999978","0.243883"
"neos-3046615-murg","easy","Feasible","0.687490","5","2247.000000","1600","0.287939"
"sp150x300d","easy","Feasible","1.044647","5","103.000000","69","0.330097"
"mas76","easy","Feasible","0.654547","1","44479.147600","40005.05398999999","0.100589"
"mas74","easy","Feasible","9.650723","1","16909.574498","11801.18572","0.302100"
"gen-ip002","easy","Feasible","35.128885","5","-4757.549385","-4783.733392","0.005474"
"glass4","easy","Feasible","17.755493","2","1800017999.998000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","10.920941","1","16182.713949","12941.73838561778","0.200274"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","10.213979","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","46.638613","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","3.442264","10"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","2.061062","3","1961.461114","1745.123813","0.110294"
"neos-911970","easy","Feasible","1.542086","2","60.550000","54.76","0.095623"
"mad","easy","Feasible","23.899593","2","0.048000","0.0268","0.441667"
"graphdraw-domain","easy","Feasible","1.931762","2","38620.000000","19685.99997550038","0.490264"
"tr12-30","easy","Feasible","8.348899","1","134781.000000","130595.9999999999","0.031050"
"exp-1-500-5-5","easy","Feasible","4.025315","2","70979.000000","65887","0.071740"
"neos-3381206-awhea","easy","Feasible","3.396777","3","454.000000","453","0.002203"
"ic97_potential","easy","Feasible","65.941599","5","4056.000000","3941.99993090225","0.028107"
"neos-3627168-kasai","easy","Feasible","37.025551","2","1003359.170000","988585.6199999998","0.014724"
"binkar10_1","easy","Feasible","0.272216","1","6922.239994","6742.1998835","0.026009"
"csched008","easy","Feasible","2.815637","2","181.000000","173","0.044199"
"csched007","easy","Feasible","216.884730","5","500.000000","350.9999999999955","0.298000"
"beasleyC3","easy","Feasible","39.558047","2","1701.000000","753.9999999999128","0.556731"
"p200x1188c","easy","Feasible","0.133475","1","623446.000000","15078","0.975815"
"neos-4338804-snowy","hard","Feasible","2.501101","4","2071.000000","1471","0.289715"
