"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.355225","1","8.000000","1","0.875000"
"markshare2","hard","Feasible","30.057112","1","30.000000","1","0.966667"
"enlight_hard","easy","Solution not found (iteration limit exceded)","44.925447","20"," / ","37"," / "
"pk1","easy","Feasible","0.844317","1","19.000000","11","0.421053"
"neos5","easy","Feasible","0.009653","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","0.003248","1","17920550.983104","6840.96564179","0.999618"
"neos859080","easy","Solution not found (iteration limit exceded)","4.540442","20"," / ","Infeasible"," / "
"timtab1","easy","Feasible","32.946060","3","955721.000000","764771.99999978","0.199796"
"neos-3046615-murg","easy","Feasible","1.536045","6","1915.000000","1600","0.164491"
"sp150x300d","easy","Feasible","0.532215","4","103.000000","69","0.330097"
"mas76","easy","Feasible","3.752574","1","44361.054142","40005.05398999999","0.098194"
"mas74","easy","Feasible","3.382028","1","15817.404046","11801.18572","0.253911"
"gen-ip002","easy","Feasible","16.057187","7","-4699.240761","-4783.733392","0.017662"
"glass4","easy","Feasible","3.288613","2","1700016600.000000","1200012599.972384","0.294117"
"neos-3754480-nidda","easy","Feasible","30.014757","1","14080.257554","12941.73838561778","0.080859"
"neos-2657525-crna","easy","Feasible","12.938592","9","11.626746","1.810748","0.844260"
"assign1-5-8","easy","Feasible","32.659791","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","31.623150","20"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","8.982659","15","1900.885770","1745.123813","0.081942"
"neos-911970","easy","Feasible","0.985835","2","60.970000","54.76","0.101853"
"mad","easy","Feasible","13.927019","2","0.093200","0.0268","0.712446"
"graphdraw-domain","easy","Feasible","2.396640","3","25344.000000","19685.99997550038","0.223248"
"tr12-30","easy","Feasible","37.028968","2","133390.000000","130595.9999999999","0.020946"
"exp-1-500-5-5","easy","Feasible","2.362358","2","71147.000000","65887","0.073931"
"neos-3381206-awhea","easy","Feasible","3.263262","3","454.000000","453","0.002203"
"ic97_potential","easy","Feasible","78.802254","5","4056.000000","3941.99993090225","0.028107"
"neos-3627168-kasai","easy","Feasible","48.470823","2","999280.730000","988585.6199999998","0.010703"
"binkar10_1","easy","Feasible","0.213763","1","6912.520016","6742.1998835","0.024639"
"csched008","easy","Feasible","12.066623","4","184.000000","173","0.059783"
"csched007","easy","Feasible","23.717738","4","434.000000","350.9999999999955","0.191244"
"beasleyC3","easy","Feasible","79.095373","4","1723.000000","753.9999999999128","0.562391"
"p200x1188c","easy","Feasible","0.038694","1","668832.000000","15078","0.977456"
"neos-4338804-snowy","hard","Feasible","1.532457","5","2086.000000","1471","0.294823"
"50v-10","easy","Feasible","0.023530","1","2071984.264543","3311.1799841","0.998402"
"pg","easy","Feasible","1.804956","1","-7966.360481","-8674.34260712","0.081618"
"mc11","easy","Feasible","5.892549","1","28188.000000","11688.99999999966","0.585320"
"gmu-35-40","easy","Feasible","102.267918","4","-2251182.319600","-2406733.3688","0.064632"
"neos-4954672-berkel","easy","Feasible","0.916520","1","3129364.000000","2612710","0.165099"
"mik-250-20-75-4","easy","Feasible","0.463460","3","59374.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","7.008365","20"," / ","211913"," / "
"pg5_34","easy","Feasible","0.357933","1","-13935.212987","-14339.35345","0.028184"
"n5-3","easy","Feasible","0.129128","1","5477945.000000","8104.999999993999","0.998520"
"lotsize","easy","Feasible","78.847547","3","1735075.000000","1480195","0.146899"
"ran14x18-disj-8","easy","Feasible","0.130405","1","9499.000000","3712","0.609222"
"rococoC10-001000","easy","Feasible","3.749229","6","28337.000000","11460","0.595582"
"gmu-35-50","easy","Feasible","120.309645","4","-2497342.315500","-2607958.33","0.042415"
"b1c1s1","easy","Feasible","12.083799","1","31172.370000","24544.25","0.212628"
"uct-subprob","easy","Feasible","14.707852","2","328.000000","314","0.042683"
"neos17","easy","Feasible","2.300053","2","0.313950","0.1500025774","0.522209"
"bppc4-08","easy","Feasible","33.013282","3","54.000000","53","0.018519"
"qap10","easy","Feasible","20.794256","8","514.000000","339.9999999983871","0.338521"
"cvs16r128-89","easy","Feasible","40.216021","6","-89.000000","-97","0.082474"
"milo-v12-6-r2-40-1","easy","Feasible","847.488640","15","414048.352724","326481.14282799","0.211490"
"reblock115","easy","Feasible","92.892580","4","-35461938.972094","-36800603.2332","0.036376"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","122.976424","2"," / ","0"," / "
"rococoB10-011000","easy","Feasible","99.993611","12","36959.000000","19449","0.473768"
"roll3000","easy","Feasible","24.165869","6","14733.000000","12889.999992","0.125093"
"cost266-UUE","easy","Feasible","60.286186","2","28254454.500000","25148940.55999998","0.109912"
"icir97_tension","easy","Feasible","124.023073","4","6530.000000","6375","0.023737"
"neos-3024952-loue","easy","Feasible","218.316166","5","71142.000000","26756","0.623907"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","175.375860","20"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","54.504887","2","230.000000","230","0.000000"
"nu25-pr12","easy","Feasible","168.868373","17","77040.000000","53904.99999999999","0.300299"
