"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.074743","1","195.000000","1","0.994872"
"markshare2","hard","Feasible","0.020670","1","187.000000","1","0.994652"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.361477","10"," / ","37"," / "
"pk1","easy","Feasible","0.024738","1","92.000000","11","0.880435"
"neos5","easy","Feasible","0.008276","1","17.000000","15","0.117647"
"gen-ip054","easy","Feasible","0.007075","1","131951006934.818283","6840.96564179","1.000000"
"neos859080","easy","Solution not found (iteration limit exceded)","0.465078","10"," / ","Infeasible"," / "
"timtab1","easy","Solution not found (iteration limit exceded)","2.185121","10"," / ","764771.99999978"," / "
"neos-3046615-murg","easy","Solution not found (iteration limit exceded)","0.332740","10"," / ","1600"," / "
"sp150x300d","easy","Solution not found (iteration limit exceded)","1.045676","10"," / ","69"," / "
"mas76","easy","Feasible","0.071669","3","58189.610480","40005.05398999999","0.312505"
"mas74","easy","Feasible","0.118292","3","21820.998729","11801.18572","0.459182"
"gen-ip002","easy","Solution not found (iteration limit exceded)","0.110813","10"," / ","-4783.733392"," / "
"glass4","easy","Feasible","0.400071","6","3400027966.666667","1200012599.972384","0.647058"
"neos-3754480-nidda","easy","Feasible","0.470744","3","14402.790325","12941.73838561778","0.101442"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","0.376562","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.152043","4","239.000000","211.999999999998","0.112971"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","0.757076","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","0.676407","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.266312","7","183.130000","54.76","0.700977"
"mad","easy","Feasible","0.132713","7","3.149000","0.0268","0.991489"
"graphdraw-domain","easy","Solution not found (iteration limit exceded)","0.540022","10"," / ","19685.99997550038"," / "
"tr12-30","easy","Feasible","2.240315","4","153669.000000","130595.9999999999","0.150147"
"exp-1-500-5-5","easy","Feasible","0.866152","4","101986.000000","65887","0.353960"
"neos-3381206-awhea","easy","Solution not found (iteration limit exceded)","2.409398","10"," / ","453"," / "
"ic97_potential","easy","Solution not found (iteration limit exceded)","8.236094","10"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","2.693289","5","1029568.079999","988585.6199999998","0.039805"
"binkar10_1","easy","Feasible","0.494064","4","1007693.059996","6742.1998835","0.993309"
"csched008","easy","Solution not found (iteration limit exceded)","1.292880","10"," / ","173"," / "
"csched007","easy","Solution not found (iteration limit exceded)","2.343151","10"," / ","350.9999999999955"," / "
"beasleyC3","easy","Feasible","15.741025","8","3097.000000","753.9999999999128","0.756539"
"p200x1188c","easy","Feasible","0.058845","1","1606866.000000","15078","0.990617"
"neos-4338804-snowy","hard","Solution not found (iteration limit exceded)","1.491308","10"," / ","1471"," / "
"50v-10","easy","Feasible","0.033071","1","6462351.682972","3311.1799841","0.999488"
"pg","easy","Feasible","0.043495","1","-6219.752876","-8674.34260712","0.282971"
"mc11","easy","Feasible","13.329896","5","55542.000000","11688.99999999966","0.789547"
"gmu-35-40","easy","Solution not found (iteration limit exceded)","175.275302","10"," / ","-2406733.3688"," / "
"neos-4954672-berkel","easy","Feasible","0.607710","4","3479037.666667","2612710","0.249014"
"mik-250-20-75-4","easy","Solution not found (iteration limit exceded)","0.288534","10"," / ","-52301"," / "
"mcsched","easy","Solution not found (iteration limit exceded)","1.387955","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.321493","1","-13134.662440","-14339.35345","0.084013"
"n5-3","easy","Feasible","0.078099","1","13039730.000000","8104.999999993999","0.999378"
"lotsize","easy","Solution not found (iteration limit exceded)","19.409310","10"," / ","1480195"," / "
"ran14x18-disj-8","easy","Feasible","0.053879","1","18294.000000","3712","0.797092"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","2.959625","10"," / ","11460"," / "
"gmu-35-50","easy","Solution not found (iteration limit exceded)","189.623673","10"," / ","-2607958.33"," / "
"b1c1s1","easy","Feasible","10.955404","5","35961.020000","24544.25","0.317476"
"uct-subprob","easy","Feasible","1.000116","4","442.000000","314","0.289593"
"neos17","easy","Solution not found (iteration limit exceded)","1.485736","10"," / ","0.1500025774"," / "
"bppc4-08","easy","Feasible","0.337903","6","94.000000","53","0.436170"
"qap10","easy","Solution not found (iteration limit exceded)","1.804421","10"," / ","339.9999999983871"," / "
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","4.069984","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","23.609276","10"," / ","326481.14282799"," / "
"reblock115","easy","Solution not found (iteration limit exceded)","217.432594","10"," / ","-36800603.2332"," / "
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","10.969180","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","5.429188","10"," / ","19449"," / "
"roll3000","easy","Solution not found (iteration limit exceded)","3.495578","10"," / ","12889.999992"," / "
"cost266-UUE","easy","Feasible","22.114107","8","32079617.340000","25148940.55999998","0.216046"
"icir97_tension","easy","Solution not found (iteration limit exceded)","20.535689","10"," / ","6375"," / "
"neos-3024952-loue","easy","Solution not found (iteration limit exceded)","434.539617","10"," / ","26756"," / "
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","4.793584","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","0.760594","2","1427.000000","230","0.838823"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","4.830500","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Solution not found (iteration limit exceded)","275.348883","10"," / ","3644.99999999952"," / "
