"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.006264","1","118.000000","1","0.991525"
"markshare2","hard","Feasible","0.025792","1","513.000000","1","0.998051"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.781054","10"," / ","37"," / "
"pk1","easy","Feasible","0.020117","1","56.000000","11","0.803571"
"neos5","easy","Feasible","0.001893","1","17.000000","15","0.117647"
"gen-ip054","easy","Feasible","0.000759","1","50241601196253.375000","6840.96564179","1.000000"
"neos859080","easy","Solution not found (iteration limit exceded)","0.303744","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","1.458567","10","1067560.000000","764771.99999978","0.283626"
"neos-3046615-murg","easy","Solution not found (iteration limit exceded)","0.256694","10"," / ","1600"," / "
"sp150x300d","easy","Solution not found (iteration limit exceded)","0.710793","10"," / ","69"," / "
"mas76","easy","Feasible","0.027637","3","69852.610480","40005.05398999999","0.427293"
"mas74","easy","Feasible","0.014825","2","31166.051734","11801.18572","0.621345"
"glass4","easy","Feasible","0.192679","6","3100021500.000000","1200012599.972384","0.612902"
"neos-3754480-nidda","easy","Feasible","0.089959","2","13469.795345","12941.73838561778","0.039203"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","0.597614","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.157302","6","259.000000","211.999999999998","0.181467"
"fhnw-binpack4-4","easy","Bug OMIP","0.691785","8"," / ","Infeasible"," / "
"supportcase26","easy","Bug OMIP","0.754402","6"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.086347","5","155.670000","54.76","0.648230"
"mad","easy","Feasible","0.057896","4","2.886400","0.0268","0.990715"
"graphdraw-domain","easy","Bug OMIP","0.338385","3"," / ","19685.99997550038"," / "
"tr12-30","easy","Feasible","2.276050","8","147231.000000","130595.9999999999","0.112986"
"exp-1-500-5-5","easy","Feasible","0.702219","3","103927.000000","65887","0.366026"
"neos-3381206-awhea","easy","Solution not found (iteration limit exceded)","1.436712","10"," / ","453"," / "
"ic97_potential","easy","Bug OMIP","16.721691","9"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","2.083607","5","1044160.420000","988585.6199999998","0.053224"
"binkar10_1","easy","Feasible","0.564722","5","7667.299985","6742.1998835","0.120655"
"csched008","easy","Solution not found (iteration limit exceded)","1.049476","10"," / ","173"," / "
"csched007","easy","Bug OMIP","0.683404","6"," / ","350.9999999999955"," / "
"beasleyC3","easy","Feasible","12.007860","7","3149.000000","753.9999999999128","0.760559"
"p200x1188c","easy","Feasible","0.027078","1","1533360.000000","15078","0.990167"
"neos-4338804-snowy","hard","Bug OMIP","0.824768","7"," / ","1471"," / "
"50v-10","easy","Feasible","0.011026","1","6388693.603169","3311.1799841","0.999482"
"pg","easy","Feasible","0.035402","1","-6443.328227","-8674.34260712","0.257197"
"mc11","easy","Bug OMIP","1.566072","2"," / ","11688.99999999966"," / "
"gmu-35-40","easy","Solution not found (iteration limit exceded)","106.015786","10"," / ","-2406733.3688"," / "
"neos-4954672-berkel","easy","Feasible","0.269228","3","4636947.000000","2612710","0.436545"
"mik-250-20-75-4","easy","Solution not found (iteration limit exceded)","0.136025","10"," / ","-52301"," / "
"mcsched","easy","Solution not found (iteration limit exceded)","0.901194","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.052531","1","-12578.729124","-14339.35345","0.122783"
"n5-3","easy","Feasible","0.036761","1","12888530.000000","8104.999999993999","0.999371"
"lotsize","easy","Solution not found (iteration limit exceded)","16.693168","10"," / ","1480195"," / "
"ran14x18-disj-8","easy","Feasible","0.017094","1","19306.000000","3712","0.807728"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","1.924660","10"," / ","11460"," / "
"gmu-35-50","easy","Solution not found (iteration limit exceded)","160.842041","10"," / ","-2607958.33"," / "
"b1c1s1","easy","Bug OMIP","0.146135","0"," / ","24544.25"," / "
"uct-subprob","easy","Feasible","0.767087","5","392.000000","314","0.198980"
"neos17","easy","Bug OMIP","0.017322","0"," / ","0.1500025774"," / "
"bppc4-08","easy","Feasible","0.180996","8","70.000000","53","0.242857"
"qap10","easy","Solution not found (iteration limit exceded)","1.417713","10"," / ","339.9999999983871"," / "
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","2.562363","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Bug OMIP","4.987137","6"," / ","326481.14282799"," / "
"reblock115","easy","Solution not found (iteration limit exceded)","176.295298","10"," / ","-36800603.2332"," / "
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","64.510636","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","5.067226","10"," / ","19449"," / "
"roll3000","easy","Bug OMIP","4.442049","9"," / ","12889.999992"," / "
"cost266-UUE","easy","Solution not found (iteration limit exceded)","21.865493","10"," / ","25148940.55999998"," / "
"icir97_tension","easy","Solution not found (iteration limit exceded)","26.535433","10"," / ","6375"," / "
"neos-3024952-loue","easy","Solution not found (iteration limit exceded)","487.924866","10"," / ","26756"," / "
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","2.580260","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","0.833192","2","2027.000000","230","0.886532"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","4.023758","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Solution not found (iteration limit exceded)","303.230927","10"," / ","3644.99999999952"," / "
"neos-4387871-tavua","hard","Bug OMIP","3.555665","3"," / ","33.384729927"," / "
"sct2","easy","Feasible","3.895564","8","-111.768319","-230.9891623","0.516132"
"bnatt400","easy","Bug OMIP","1.258145","2"," / ","1"," / "
"app1-1","easy","Bug OMIP","30.084873","0"," / ","-3"," / "
"supportcase18","easy","Solution not found (iteration limit exceded)","1.522300","10"," / ","48"," / "
"seymour","easy","Feasible","0.746296","7","510.000000","423","0.170588"
"seymour1","easy","Feasible","15.045921","7","433.873101","410.76370139","0.053263"
"eil33-2","easy","Solution not found (iteration limit exceded)","0.425775","10"," / ","934.007915999999"," / "
"rmatr100-p10","easy","Feasible","0.902586","5","569.000000","423","0.256591"
"bnatt500","easy","Bug OMIP","0.796961","1"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Solution not found (iteration limit exceded)","4.758842","10"," / ","6307996"," / "
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","2.655570","10"," / ","-9"," / "
"neos-1582420","easy","Solution not found (iteration limit exceded)","2.113793","10"," / ","90.99999999999996"," / "
"swath1","easy","Feasible","2.737480","8","632.730894","379.07129575","0.400896"
"swath3","easy","Feasible","3.163215","9","438.965790","397.76134365","0.093867"
"peg-solitaire-a3","easy","Solution not found (iteration limit exceded)","2.937622","10"," / ","1"," / "
"neos-1456979","easy","Bug OMIP","1.878335","5"," / ","176"," / "
"cod105","easy","Solution not found (iteration limit exceded)","4.830309","10"," / ","-12"," / "
"h80x6320d","easy","Feasible","170.682542","9","12971.517082","6382.099048245999","0.507991"
"air05","easy","Solution not found (iteration limit exceded)","1.495466","10"," / ","26374"," / "
