"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.069913","1","334.000000","1","0.997006"
"markshare2","hard","Feasible","0.007645","1","311.000000","1","0.996785"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.318419","10"," / ","37"," / "
"pk1","easy","Feasible","0.022758","1","82.000000","11","0.865854"
"neos5","easy","Feasible","0.287088","1","17.500000","15","0.142857"
"gen-ip054","easy","Feasible","0.017472","2","4053180824.824431","6840.96564179","0.999998"
"neos859080","easy","Solution not found (iteration limit exceded)","0.348851","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","1.474490","7","1033090.000000","764771.99999978","0.259724"
"neos-3046615-murg","easy","Solution not found (iteration limit exceded)","0.397809","10"," / ","1600"," / "
"sp150x300d","easy","Solution not found (iteration limit exceded)","0.965114","10"," / ","69"," / "
"mas76","easy","Feasible","0.050344","3","49361.547100","40005.05398999999","0.189550"
"mas74","easy","Feasible","0.063279","2","22325.903784","11801.18572","0.471413"
"gen-ip002","easy","Solution not found (iteration limit exceded)","0.113095","10"," / ","-4783.733392"," / "
"glass4","easy","Feasible","0.428927","7","2800025150.000000","1200012599.972384","0.571428"
"neos-3754480-nidda","easy","Feasible","0.276702","2","15590.229388","12941.73838561778","0.169881"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","0.391543","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.087248","3","255.000000","211.999999999998","0.168627"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","0.848125","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","1.142823","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.144437","5","186.270000","54.76","0.706018"
"mad","easy","Feasible","0.060340","4","2.970000","0.0268","0.990976"
"graphdraw-domain","easy","Solution not found (iteration limit exceded)","0.478883","10"," / ","19685.99997550038"," / "
"tr12-30","easy","Feasible","1.250806","2","157979.000000","130595.9999999999","0.173333"
"exp-1-500-5-5","easy","Feasible","0.836857","3","121615.000000","65887","0.458233"
"neos-3381206-awhea","easy","Solution not found (iteration limit exceded)","1.996668","10"," / ","453"," / "
"ic97_potential","easy","Solution not found (iteration limit exceded)","9.494861","10"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","2.226195","4","1072384.840000","988585.6199999998","0.078143"
"binkar10_1","easy","Feasible","0.476906","4","7579.300000","6742.1998835","0.110446"
"csched008","easy","Solution not found (iteration limit exceded)","2.139708","10"," / ","173"," / "
"csched007","easy","Solution not found (iteration limit exceded)","1.761199","10"," / ","350.9999999999955"," / "
"beasleyC3","easy","Solution not found (iteration limit exceded)","24.417139","10"," / ","753.9999999999128"," / "
"p200x1188c","easy","Feasible","0.060038","1","1564132.000000","15078","0.990360"
"neos-4338804-snowy","hard","Solution not found (iteration limit exceded)","1.366502","10"," / ","1471"," / "
"50v-10","easy","Feasible","0.032856","1","5390100.485852","3311.1799841","0.999386"
"pg","easy","Feasible","0.043144","1","-6187.832698","-8674.34260712","0.286651"
"mc11","easy","Feasible","4.984258","5","56818.000000","11688.99999999966","0.794273"
"gmu-35-40","easy","Solution not found (iteration limit exceded)","96.945369","10"," / ","-2406733.3688"," / "
"neos-4954672-berkel","easy","Feasible","1.027324","4","4525156.000000","2612710","0.422625"
"mik-250-20-75-4","easy","Solution not found (iteration limit exceded)","0.287416","10"," / ","-52301"," / "
"mcsched","easy","Solution not found (iteration limit exceded)","1.506653","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.142242","1","-12547.024291","-14339.35345","0.124994"
"n5-3","easy","Feasible","0.073549","1","12601085.000000","8104.999999993999","0.999357"
"lotsize","easy","Solution not found (iteration limit exceded)","23.408149","10"," / ","1480195"," / "
"ran14x18-disj-8","easy","Feasible","0.036642","1","16412.000000","3712","0.773824"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","3.041444","10"," / ","11460"," / "
"gmu-35-50","easy","Solution not found (iteration limit exceded)","170.302553","10"," / ","-2607958.33"," / "
"b1c1s1","easy","Feasible","2.984054","2","39462.650000","24544.25","0.378038"
"uct-subprob","easy","Feasible","1.126005","5","401.000000","314","0.216958"
"neos17","easy","Feasible","0.483131","5","0.579658","0.1500025774","0.741222"
"bppc4-08","easy","Feasible","0.348400","6","95.000000","53","0.442105"
"qap10","easy","Solution not found (iteration limit exceded)","1.707005","10"," / ","339.9999999983871"," / "
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","4.043018","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","160.218056","10"," / ","326481.14282799"," / "
